ENVI ASCII Plot File [Fri Sep 19 10:06:58 2014]
Column 1: Wavelength
Column 2: X:7793 Y:2783~~1
Column 3: X:7793 Y:2782~~2
Column 4: X:7793 Y:2781~~3
Column 5: X:7793 Y:2780~~4
Column 6: X:7793 Y:2779~~5
Column 7: X:7793 Y:2778~~6
Column 8: X:7793 Y:2777~~7
Column 9: X:7793 Y:2776~~8
Column 10: X:7793 Y:2775~~9
Column 11: X:7793 Y:2774~~10
Column 12: X:7793 Y:2773~~11
Column 13: X:7793 Y:2772~~12
Column 14: X:7793 Y:2771~~13
Column 15: X:7793 Y:2770~~14
Column 16: X:7793 Y:2769~~15
Column 17: X:7793 Y:2768~~16
Column 18: X:7793 Y:2767~~17
Column 19: X:7793 Y:2766~~18
Column 20: X:7793 Y:2765~~19
Column 21: X:7792 Y:2765~~20
Column 22: X:7792 Y:2766~~21
Column 23: X:7792 Y:2767~~22
Column 24: X:7792 Y:2768~~23
Column 25: X:7792 Y:2769~~24
Column 26: X:7792 Y:2770~~25
Column 27: X:7792 Y:2771~~26
Column 28: X:7792 Y:2772~~27
Column 29: X:7792 Y:2773~~28
Column 30: X:7792 Y:2774~~29
Column 31: X:7791 Y:2774~~30
Column 32: X:7791 Y:2773~~31
Column 33: X:7791 Y:2772~~32
Column 34: X:7791 Y:2771~~33
Column 35: X:7791 Y:2770~~34
Column 36: X:7791 Y:2769~~35
Column 37: X:7791 Y:2768~~36
Column 38: X:7791 Y:2767~~37
Column 39: X:7791 Y:2766~~38
Column 40: X:7791 Y:2765~~39
Column 41: X:7791 Y:2764~~40
Column 42: X:7791 Y:2763~~41
Column 43: X:7791 Y:2762~~42
Column 44: X:7790 Y:2762~~43
Column 45: X:7790 Y:2763~~44
Column 46: X:7790 Y:2764~~45
Column 47: X:7790 Y:2765~~46
Column 48: X:7790 Y:2766~~47
Column 49: X:7790 Y:2767~~48
Column 50: X:7790 Y:2768~~49
Column 51: X:7790 Y:2769~~1
Column 52: X:7790 Y:2770~~2
Column 53: X:7790 Y:2771~~3
Column 54: X:7790 Y:2772~~4
Column 55: X:7790 Y:2773~~5
Column 56: X:7790 Y:2774~~6
Column 57: X:7789 Y:2774~~7
Column 58: X:7789 Y:2773~~8
Column 59: X:7789 Y:2772~~9
Column 60: X:7789 Y:2771~~10
Column 61: X:7789 Y:2770~~11
Column 62: X:7789 Y:2769~~12
Column 63: X:7789 Y:2768~~13
Column 64: X:7789 Y:2767~~14
Column 65: X:7789 Y:2766~~15
Column 66: X:7789 Y:2765~~16
Column 67: X:7789 Y:2764~~17
Column 68: X:7789 Y:2763~~18
Column 69: X:7789 Y:2762~~19
Column 70: X:7789 Y:2761~~20
Column 71: X:7788 Y:2761~~21
