ENVI ASCII Plot File [Wed Oct 24 15:16:14 2018]
Column 1: Wavelength
Column 2: X:10511 Y:7244~~1
Column 3: X:10512 Y:7245~~2
Column 4: X:10512 Y:7246~~3
Column 5: X:10512 Y:7247~~4
Column 6: X:10512 Y:7248~~5
Column 7: X:10513 Y:7248~~6
Column 8: X:10514 Y:7248~~7
Column 9: X:10515 Y:7248~~8
Column 10: X:10515 Y:7247~~9
Column 11: X:10515 Y:7246~~10
Column 12: X:10515 Y:7245~~11
Column 13: X:10516 Y:7245~~12
Column 14: X:10516 Y:7244~~13
Column 15: X:10516 Y:7243~~14
Column 16: X:10515 Y:7243~~15
Column 17: X:10514 Y:7243~~16
Column 18: X:10514 Y:7242~~17
Column 19: X:10513 Y:7242~~18
Column 20: X:10512 Y:7242~~19
Column 21: X:10511 Y:7242~~20
Column 22: X:10510 Y:7242~~21
Column 23: X:10509 Y:7242~~22
Column 24: X:10509 Y:7241~~23
Column 25: X:10508 Y:7241~~24
Column 26: X:10507 Y:7241~~25
Column 27: X:10506 Y:7241~~26
Column 28: X:10505 Y:7241~~27
Column 29: X:10504 Y:7241~~28
Column 30: X:10503 Y:7241~~29
Column 31: X:10502 Y:7241~~30
Column 32: X:10501 Y:7241~~31
Column 33: X:10500 Y:7241~~32
Column 34: X:10500 Y:7240~~33
Column 35: X:10499 Y:7240~~34
Column 36: X:10498 Y:7240~~35
Column 37: X:10498 Y:7239~~36
Column 38: X:10497 Y:7239~~37
Column 39: X:10496 Y:7239~~38
Column 40: X:10496 Y:7238~~39
Column 41: X:10495 Y:7238~~40
Column 42: X:10494 Y:7238~~41
Column 43: X:10494 Y:7237~~42
Column 44: X:10494 Y:7236~~43
Column 45: X:10495 Y:7236~~44
Column 46: X:10496 Y:7236~~45
Column 47: X:10496 Y:7237~~46
Column 48: X:10497 Y:7237~~47
Column 49: X:10498 Y:7237~~48
Column 50: X:10498 Y:7238~~49
Column 51: X:10499 Y:7238~~1
Column 52: X:10499 Y:7239~~2
Column 53: X:10500 Y:7239~~3
Column 54: X:10500 Y:7238~~4
Column 55: X:10501 Y:7238~~5
Column 56: X:10502 Y:7238~~6
Column 57: X:10503 Y:7238~~7
Column 58: X:10503 Y:7239~~8
Column 59: X:10504 Y:7239~~9
Column 60: X:10504 Y:7240~~10
Column 61: X:10504 Y:7241~~11
Column 62: X:10505 Y:7241~~12
Column 63: X:10506 Y:7241~~13
Column 64: X:10506 Y:7240~~14
Column 65: X:10506 Y:7239~~15
Column 66: X:10507 Y:7239~~16
Column 67: X:10508 Y:7239~~17
Column 68: X:10509 Y:7239~~18
Column 69: X:10510 Y:7239~~19
Column 70: X:10510 Y:7240~~20
Column 71: X:10510 Y:7241~~21
Column 72: X:10511 Y:7241~~22
Column 73: X:10512 Y:7241~~23
Column 74: X:10513 Y:7241~~24
Column 75: X:10514 Y:7241~~25
Column 76: X:10515 Y:7241~~26
Column 77: X:10515 Y:7242~~27
Column 78: X:10515 Y:7243~~28
Column 79: X:10515 Y:7244~~29
Column 80: X:10515 Y:7245~~30
Column 81: X:10515 Y:7246~~31
Column 82: X:10516 Y:7246~~32
Column 83: X:10517 Y:7246~~33
Column 84: X:10518 Y:7246~~34
Column 85: X:10518 Y:7247~~35
Column 86: X:10518 Y:7248~~36
Column 87: X:10518 Y:7249~~37
Column 88: X:10519 Y:7249~~38
Column 89: X:10520 Y:7249~~39
Column 90: X:10521 Y:7249~~40
Column 91: X:10522 Y:7249~~41
Column 92: X:10523 Y:7249~~42
Column 93: X:10524 Y:7249~~43
Column 94: X:10525 Y:7249~~44
Column 95: X:10525 Y:7248~~45
Column 96: X:10525 Y:7247~~46
Column 97: X:10524 Y:7247~~47
Column 98: X:10523 Y:7247~~48
Column 99: X:10522 Y:7247~~49
Column 100: X:10521 Y:7247~~1
Column 101: X:10521 Y:7246~~2
Column 102: X:10521 Y:7245~~3
Column 103: X:10522 Y:7245~~4
Column 104: X:10523 Y:7245~~5
Column 105: X:10524 Y:7245~~6
Column 106: X:10525 Y:7245~~7
Column 107: X:10525 Y:7244~~8
Column 108: X:10525 Y:7243~~9
Column 109: X:10524 Y:7243~~10
Column 110: X:10523 Y:7243~~11
Column 111: X:10522 Y:7243~~12
Column 112: X:10521 Y:7243~~13
Column 113: X:10521 Y:7242~~14
Column 114: X:10522 Y:7242~~15
Column 115: X:10523 Y:7242~~16
Column 116: X:10524 Y:7242~~17
Column 117: X:10525 Y:7242~~18
Column 118: X:10525 Y:7241~~19
Column 119: X:10525 Y:7240~~20
Column 120: X:10524 Y:7240~~21
Column 121: X:10523 Y:7240~~22
Column 122: X:10522 Y:7240~~23
Column 123: X:10521 Y:7240~~24
Column 124: X:10520 Y:7240~~25
Column 125: X:10519 Y:7240~~26
Column 126: X:10518 Y:7240~~27
Column 127: X:10518 Y:7239~~28
Column 128: X:10518 Y:7238~~29
Column 129: X:10517 Y:7238~~30
Column 130: X:10516 Y:7238~~31
Column 131: X:10515 Y:7238~~32
Column 132: X:10514 Y:7238~~33
Column 133: X:10513 Y:7238~~34
Column 134: X:10512 Y:7238~~35
Column 135: X:10511 Y:7238~~36
Column 136: X:10510 Y:7238~~37
Column 137: X:10509 Y:7238~~38
Column 138: X:10508 Y:7238~~39
Column 139: X:10507 Y:7238~~40
Column 140: X:10506 Y:7238~~41
Column 141: X:10505 Y:7238~~42
Column 142: X:10505 Y:7237~~43
Column 143: X:10505 Y:7236~~44
Column 144: X:10505 Y:7235~~45
Column 145: X:10505 Y:7234~~46
Column 146: X:10505 Y:7233~~47
Column 147: X:10505 Y:7232~~48
Column 148: X:10505 Y:7231~~49
Column 149: X:10505 Y:7230~~1
Column 150: X:10505 Y:7229~~2
Column 151: X:10505 Y:7228~~3
  0.427000  58.406387  58.144474  57.620651  57.882561  56.834915  57.096825  57.882561  56.834915  57.620651  57.620651  58.144474  56.573006  56.834915  56.834915  57.096825  57.358738  56.049179  58.144474  58.144474  57.358738  57.882561  57.882561  57.620651  57.620651  57.882561  58.144474  57.620651  58.930214  59.192127  58.930214  57.882561  59.715946  58.668301  58.406387  59.715946  59.454033  58.930214  59.715946  59.977859  59.977859  58.668301  57.620651  57.620651  57.096825  56.311092  58.406387  55.787266  56.049179  57.096825  57.882561  57.882561  58.668301  57.620651  58.144474  56.311092  56.049179  58.144474  58.144474  58.406387  58.930214  57.620651  58.144474  57.620651  56.573006  56.049179  55.787266  55.787266  55.263439  55.263439  57.096825  55.787266  56.573006  56.049179  56.049179  55.263439  55.525352  57.096825  57.620651  58.144474  57.620651  57.096825  56.834915  57.358738  57.096825  57.096825  56.573006  56.311092  56.834915  56.311092  55.525352  56.834915  56.311092  56.573006  55.263439  54.739620  54.739620  55.525352  55.525352  55.525352  56.573006  56.573006  55.001530  54.739620  55.525352  55.263439  56.049179  54.215794  54.215794  54.739620  54.477707  55.001530  54.215794  53.430058  53.953884  52.906231  54.215794  54.477707  54.215794  54.215794  53.691971  54.215794  53.953884  53.953884  53.691971  53.691971  54.477707  54.477707  54.739620  53.953884  54.215794  54.739620  55.001530  54.739620  53.953884  55.001530  54.739620  55.525352  55.525352  55.001530  55.525352  55.525352  54.215794  55.263439  55.263439  55.787266  55.001530  53.168144  53.691971  53.430058  53.430058
  0.478000  57.626602  58.524212  57.088036  57.267555  56.728989  56.369946  57.088036  57.447075  57.985641  57.088036  56.369946  55.831379  56.908512  56.908512  57.267555  57.088036  55.472332  57.267555  57.088036  57.806122  58.165169  58.883255  58.524212  58.524212  57.088036  57.088036  57.447075  59.062778  59.421822  58.703735  57.806122  62.294174  57.088036  57.985641  59.242298  57.806122  60.678478  60.678478  61.037521  61.037521  58.344688  57.806122  57.806122  55.292812  54.395203  55.292812  56.010902  54.036160  57.088036  58.344688  58.344688  59.062778  58.703735  56.190422  54.933765  54.574726  57.267555  57.267555  58.524212  59.062778  57.447075  57.088036  56.908512  55.651859  55.292812  54.574726  52.240936  50.804760  52.240936  56.010902  56.010902  56.190422  54.395203  53.318069  52.420456  53.677113  57.267555  56.908512  56.369946  57.088036  56.190422  55.472332  56.728989  55.472332  55.472332  54.215679  53.856636  53.138550  53.677113  53.318069  53.856636  53.856636  54.036160  52.420456  50.804760  52.779503  53.138550  53.138550  52.959023  54.395203  54.395203  53.318069  52.959023  52.240936  51.163803  51.343327  50.625240  50.625240  50.445713  50.625240  51.702370  50.804760  49.189060  50.086674  49.548107  49.727627  49.189060  49.727627  50.266193  48.830017  50.086674  49.548107  48.650494  48.111927  50.086674  49.189060  49.189060  49.009541  50.266193  50.804760  51.343327  52.061417  50.804760  50.625240  51.163803  51.702370  52.779503  53.497593  52.061417  53.677113  52.061417  50.445713  50.086674  50.086674  51.881893  50.266193  47.932404  48.650494  48.650494  47.932404
  0.546000  46.086914  45.248970  45.009556  44.770145  44.051907  43.453373  44.171612  45.608089  45.488380  44.770145  42.735138  42.136604  44.171612  44.171612  43.812492  43.573078  41.178955  43.453373  44.291317  44.291317  45.608089  46.446030  45.727795  45.727795  46.206619  45.727795  46.206619  47.403683  47.283974  47.044563  46.086914  50.755459  46.565735  46.206619  48.959866  46.326324  48.720451  48.600746  50.635750  50.635750  47.044563  44.291317  44.291317  41.777485  40.580425  42.735138  41.657780  40.460720  44.171612  45.967209  45.967209  48.481041  45.967209  44.530731  41.777485  42.376019  45.248970  45.248970  45.727795  47.403683  46.206619  45.727795  45.727795  41.059250  42.016899  41.298660  38.545418  35.672466  37.228649  43.213963  41.178955  42.376019  40.939541  39.024242  36.630119  38.665123  43.812492  44.291317  42.735138  44.770145  42.016899  41.178955  44.291317  41.657780  41.657780  39.981895  40.819836  41.777485  39.742481  39.143948  40.580425  41.178955  40.221306  39.024242  36.989239  38.545418  39.742481  39.742481  39.503067  40.939541  40.939541  39.143948  37.348358  36.510410  35.672466  36.749825  35.672466  35.672466  34.954231  33.876873  34.235992  34.116287  32.919224  32.320690  33.398048  33.278343  33.398048  33.278343  33.637463  31.123631  33.398048  31.602453  31.123631  30.165977  31.961573  31.363043  31.363043  31.243336  33.517754  34.834526  34.355698  36.390705  32.679810  33.637463  35.193642  36.510410  37.108944  38.306004  36.989239  37.707478  37.108944  34.116287  33.757168  33.757168  35.672466  33.876873  30.285685  31.243336  30.046274  29.447742
