ENVI ASCII Plot File [Wed Oct 24 14:49:50 2018]
Column 1: Wavelength
Column 2: X:663 Y:3864~~1
Column 3: X:662 Y:3865~~2
Column 4: X:662 Y:3866~~3
Column 5: X:663 Y:3866~~4
Column 6: X:663 Y:3867~~5
Column 7: X:662 Y:3867~~6
Column 8: X:661 Y:3867~~7
Column 9: X:661 Y:3866~~8
Column 10: X:661 Y:3865~~9
Column 11: X:660 Y:3865~~10
Column 12: X:660 Y:3866~~11
Column 13: X:660 Y:3867~~12
Column 14: X:659 Y:3867~~13
Column 15: X:659 Y:3868~~14
Column 16: X:658 Y:3868~~15
Column 17: X:658 Y:3867~~16
Column 18: X:658 Y:3866~~17
Column 19: X:657 Y:3866~~18
Column 20: X:656 Y:3866~~19
Column 21: X:656 Y:3867~~20
Column 22: X:656 Y:3868~~21
Column 23: X:657 Y:3868~~22
Column 24: X:657 Y:3869~~23
Column 25: X:657 Y:3870~~24
Column 26: X:657 Y:3871~~25
Column 27: X:656 Y:3871~~26
Column 28: X:656 Y:3870~~27
Column 29: X:656 Y:3869~~28
Column 30: X:655 Y:3869~~29
Column 31: X:655 Y:3870~~30
Column 32: X:655 Y:3871~~31
Column 33: X:656 Y:3871~~32
Column 34: X:656 Y:3872~~33
Column 35: X:657 Y:3872~~34
Column 36: X:657 Y:3873~~35
Column 37: X:656 Y:3873~~36
Column 38: X:656 Y:3874~~37
Column 39: X:655 Y:3874~~38
Column 40: X:655 Y:3873~~39
Column 41: X:655 Y:3872~~40
Column 42: X:655 Y:3871~~41
Column 43: X:655 Y:3870~~42
Column 44: X:655 Y:3869~~43
Column 45: X:655 Y:3868~~44
Column 46: X:654 Y:3868~~45
Column 47: X:654 Y:3867~~46
Column 48: X:654 Y:3866~~47
Column 49: X:653 Y:3866~~48
Column 50: X:653 Y:3867~~49
Column 51: X:653 Y:3868~~1
Column 52: X:653 Y:3869~~2
Column 53: X:653 Y:3870~~3
Column 54: X:653 Y:3871~~4
Column 55: X:653 Y:3872~~5
Column 56: X:653 Y:3873~~6
Column 57: X:653 Y:3874~~7
Column 58: X:653 Y:3875~~8
Column 59: X:654 Y:3875~~9
Column 60: X:654 Y:3876~~10
Column 61: X:654 Y:3877~~11
Column 62: X:654 Y:3878~~12
Column 63: X:654 Y:3879~~13
Column 64: X:653 Y:3879~~14
Column 65: X:652 Y:3879~~15
Column 66: X:652 Y:3878~~16
Column 67: X:652 Y:3877~~17
Column 68: X:652 Y:3876~~18
Column 69: X:652 Y:3875~~19
Column 70: X:652 Y:3874~~20
Column 71: X:652 Y:3873~~21
Column 72: X:652 Y:3872~~22
Column 73: X:652 Y:3871~~23
Column 74: X:652 Y:3870~~24
Column 75: X:652 Y:3869~~25
Column 76: X:652 Y:3868~~26
Column 77: X:652 Y:3867~~27
Column 78: X:652 Y:3866~~28
Column 79: X:652 Y:3865~~29
Column 80: X:652 Y:3864~~30
Column 81: X:651 Y:3864~~31
Column 82: X:651 Y:3865~~32
Column 83: X:651 Y:3866~~33
Column 84: X:651 Y:3867~~34
Column 85: X:651 Y:3868~~35
Column 86: X:651 Y:3869~~36
Column 87: X:651 Y:3870~~37
Column 88: X:651 Y:3871~~38
Column 89: X:651 Y:3872~~39
Column 90: X:651 Y:3873~~40
Column 91: X:651 Y:3874~~41
Column 92: X:651 Y:3875~~42
Column 93: X:651 Y:3876~~43
Column 94: X:651 Y:3877~~44
Column 95: X:651 Y:3878~~45
Column 96: X:650 Y:3878~~46
Column 97: X:650 Y:3877~~47
Column 98: X:650 Y:3876~~48
Column 99: X:650 Y:3875~~49
Column 100: X:650 Y:3874~~1
Column 101: X:650 Y:3873~~2
Column 102: X:650 Y:3872~~3
Column 103: X:650 Y:3871~~4
Column 104: X:650 Y:3870~~5
Column 105: X:650 Y:3869~~6
Column 106: X:650 Y:3868~~7
Column 107: X:650 Y:3867~~8
Column 108: X:649 Y:3867~~9
Column 109: X:648 Y:3867~~10
Column 110: X:648 Y:3868~~11
Column 111: X:648 Y:3869~~12
Column 112: X:648 Y:3870~~13
Column 113: X:648 Y:3871~~14
Column 114: X:648 Y:3872~~15
Column 115: X:648 Y:3873~~16
Column 116: X:648 Y:3874~~17
Column 117: X:648 Y:3875~~18
Column 118: X:647 Y:3875~~19
Column 119: X:646 Y:3875~~20
Column 120: X:646 Y:3876~~21
Column 121: X:646 Y:3877~~22
Column 122: X:646 Y:3878~~23
Column 123: X:646 Y:3879~~24
Column 124: X:645 Y:3878~~25
Column 125: X:645 Y:3877~~26
Column 126: X:645 Y:3876~~27
Column 127: X:645 Y:3875~~28
Column 128: X:645 Y:3874~~29
Column 129: X:645 Y:3873~~30
Column 130: X:645 Y:3872~~31
Column 131: X:645 Y:3871~~32
Column 132: X:645 Y:3870~~33
Column 133: X:645 Y:3869~~34
Column 134: X:645 Y:3868~~35
Column 135: X:646 Y:3868~~36
Column 136: X:646 Y:3867~~37
Column 137: X:647 Y:3867~~38
