ENVI ASCII Plot File [Fri Sep 19 10:10:21 2014]
Column 1: Wavelength
Column 2: X:3061 Y:8289~~1
Column 3: X:3061 Y:8288~~2
Column 4: X:3061 Y:8287~~3
Column 5: X:3061 Y:8286~~4
Column 6: X:3061 Y:8285~~5
Column 7: X:3061 Y:8284~~6
Column 8: X:3061 Y:8283~~7
Column 9: X:3061 Y:8282~~8
Column 10: X:3061 Y:8281~~9
Column 11: X:3061 Y:8280~~10
Column 12: X:3061 Y:8279~~11
Column 13: X:3061 Y:8278~~12
Column 14: X:3061 Y:8277~~13
Column 15: X:3061 Y:8276~~14
Column 16: X:3060 Y:8276~~15
Column 17: X:3060 Y:8277~~16
Column 18: X:3060 Y:8278~~17
Column 19: X:3060 Y:8279~~18
Column 20: X:3060 Y:8280~~19
Column 21: X:3060 Y:8281~~20
Column 22: X:3060 Y:8282~~21
Column 23: X:3060 Y:8283~~22
Column 24: X:3060 Y:8284~~23
Column 25: X:3060 Y:8285~~24
Column 26: X:3059 Y:8285~~25
Column 27: X:3059 Y:8284~~26
Column 28: X:3059 Y:8283~~27
Column 29: X:3059 Y:8282~~28
Column 30: X:3059 Y:8281~~29
Column 31: X:3059 Y:8280~~30
Column 32: X:3059 Y:8279~~31
Column 33: X:3059 Y:8278~~32
Column 34: X:3059 Y:8277~~33
Column 35: X:3059 Y:8276~~34
Column 36: X:3059 Y:8275~~35
Column 37: X:3059 Y:8274~~36
Column 38: X:3059 Y:8273~~37
Column 39: X:3058 Y:8273~~38
Column 40: X:3058 Y:8274~~39
Column 41: X:3058 Y:8275~~40
Column 42: X:3058 Y:8276~~41
Column 43: X:3058 Y:8277~~42
Column 44: X:3058 Y:8278~~43
Column 45: X:3058 Y:8279~~44
Column 46: X:3058 Y:8280~~45
Column 47: X:3058 Y:8281~~46
Column 48: X:3058 Y:8282~~47
Column 49: X:3058 Y:8283~~48
Column 50: X:3058 Y:8284~~49
Column 51: X:3057 Y:8284~~1
Column 52: X:3057 Y:8283~~2
Column 53: X:3057 Y:8282~~3
Column 54: X:3057 Y:8281~~4
Column 55: X:3057 Y:8280~~5
Column 56: X:3057 Y:8279~~6
Column 57: X:3057 Y:8278~~7
Column 58: X:3057 Y:8277~~8
Column 59: X:3057 Y:8276~~9
Column 60: X:3057 Y:8275~~10
Column 61: X:3057 Y:8274~~11
Column 62: X:3057 Y:8273~~12
Column 63: X:3057 Y:8272~~13
Column 64: X:3057 Y:8271~~14
Column 65: X:3057 Y:8270~~15
Column 66: X:3057 Y:8269~~16
Column 67: X:3056 Y:8269~~17
Column 68: X:3056 Y:8270~~18
Column 69: X:3056 Y:8271~~19
Column 70: X:3056 Y:8272~~20
Column 71: X:3056 Y:8273~~21
Column 72: X:3056 Y:8274~~22
Column 73: X:3056 Y:8275~~23
Column 74: X:3056 Y:8276~~24
Column 75: X:3056 Y:8277~~25
Column 76: X:3056 Y:8278~~26
Column 77: X:3056 Y:8279~~27
Column 78: X:3056 Y:8280~~28
Column 79: X:3055 Y:8280~~29
Column 80: X:3055 Y:8279~~30
Column 81: X:3055 Y:8278~~31
Column 82: X:3055 Y:8277~~32
Column 83: X:3055 Y:8276~~33
Column 84: X:3055 Y:8275~~34
Column 85: X:3055 Y:8274~~35
Column 86: X:3055 Y:8273~~36
Column 87: X:3055 Y:8272~~37
Column 88: X:3055 Y:8271~~38
Column 89: X:3055 Y:8270~~39
Column 90: X:3055 Y:8269~~40
Column 91: X:3054 Y:8269~~41
Column 92: X:3054 Y:8270~~42
Column 93: X:3054 Y:8271~~43
Column 94: X:3054 Y:8272~~44
Column 95: X:3054 Y:8273~~45
Column 96: X:3054 Y:8274~~46
Column 97: X:3054 Y:8275~~47
Column 98: X:3054 Y:8276~~48
Column 99: X:3054 Y:8277~~49
Column 100: X:3054 Y:8278~~1
Column 101: X:3054 Y:8279~~2
Column 102: X:3054 Y:8280~~3
Column 103: X:3054 Y:8281~~4
Column 104: X:3054 Y:8282~~5
Column 105: X:3053 Y:8282~~6
Column 106: X:3053 Y:8281~~7
Column 107: X:3053 Y:8280~~8
Column 108: X:3053 Y:8279~~9
Column 109: X:3053 Y:8278~~10
Column 110: X:3053 Y:8277~~11
Column 111: X:3052 Y:8277~~12
Column 112: X:3052 Y:8278~~13
Column 113: X:3052 Y:8279~~14
Column 114: X:3052 Y:8280~~15
Column 115: X:3052 Y:8281~~16
Column 116: X:3052 Y:8282~~17
Column 117: X:3052 Y:8283~~18
Column 118: X:3052 Y:8284~~19
Column 119: X:3052 Y:8285~~20
Column 120: X:3052 Y:8286~~21
Column 121: X:3052 Y:8287~~22
Column 122: X:3052 Y:8288~~23
Column 123: X:3052 Y:8289~~24
Column 124: X:3052 Y:8290~~25
Column 125: X:3052 Y:8291~~26
Column 126: X:3051 Y:8291~~27
Column 127: X:3051 Y:8290~~28
Column 128: X:3051 Y:8289~~29
Column 129: X:3051 Y:8288~~30
Column 130: X:3051 Y:8287~~31
Column 131: X:3051 Y:8286~~32
Column 132: X:3051 Y:8285~~33
Column 133: X:3051 Y:8284~~34
Column 134: X:3051 Y:8283~~35
  0.427000  45.200851  44.218224  43.235596  41.663395  41.859921  41.859921  41.270344  40.877293  38.715511  38.715511  38.322464  38.518986  37.536358  37.929413  37.929413  38.322464  38.518986  40.091190  40.877293  40.680767  40.484241  41.073818  41.073818  41.466869  39.305088  38.125935  38.518986  40.877293  40.877293  41.270344  40.484241  39.501614  38.125935  38.125935  38.518986  37.536358  37.732887  38.322464  38.322464  38.322464  38.322464  39.894669  40.091190  41.073818  41.073818  40.680767  40.484241  37.536358  38.125935  38.322464  37.536358  37.536358  37.536358  39.698139  41.073818  41.073818  39.894669  38.125935  38.322464  38.912041  37.536358  38.518986  38.125935  37.732887  37.536358  38.125935  38.125935  38.125935  37.732887  39.108562  38.715511  37.929413  38.125935  40.877293  40.877293  41.663395  38.322464  39.501614  39.501614  39.108562  40.091190  38.912041  37.732887  37.732887  38.715511  39.698139  39.108562  37.929413  37.732887  37.536358  37.536358  37.536358  38.125935  38.125935  38.518986  38.715511  39.894669  38.322464  38.322464  37.732887  37.929413  40.484241  39.894669  38.322464  39.108562  39.108562  38.125935  37.339836  38.322464  37.732887  38.125935  38.125935  39.305088  39.698139  39.698139  39.698139  38.912041  38.912041  43.628651  43.235596  45.004326  43.039074  40.877293  38.518986  38.125935  38.322464  42.842548  43.628651  43.628651  44.414749  41.073818  39.305088  38.715511
  0.478000  51.293610  48.876637  46.325382  43.639851  44.176956  45.116894  44.176956  43.371300  38.000244  38.000244  38.805901  38.403069  36.791752  36.791752  36.791752  38.671623  38.403069  41.357155  43.639851  43.774132  42.297089  42.431366  42.431366  42.431366  38.537346  36.657475  38.268795  43.639851  43.639851  44.848339  43.639851  39.745834  38.805901  38.805901  36.926029  37.597412  36.791752  37.731689  38.134518  38.134518  37.597412  40.685772  41.491428  43.237022  43.237022  43.639851  41.088600  36.657475  36.388924  37.865963  36.657475  37.194580  37.597412  40.685772  42.968468  42.968468  40.551495  37.865963  38.403069  38.671623  37.597412  37.463135  37.194580  37.328861  36.657475  36.791752  37.597412  37.597412  37.060307  38.940178  38.805901  37.328861  37.865963  41.088600  43.102749  45.385445  36.926029  40.014389  40.014389  41.625706  40.014389  39.880108  38.805901  38.805901  39.074451  39.074451  38.403069  36.926029  36.657475  36.254646  36.254646  36.791752  38.671623  38.671623  38.268795  37.194580  39.074451  37.865963  37.865963  36.388924  36.523201  40.417217  41.088600  39.745834  39.074451  39.074451  36.254646  35.717541  38.268795  35.851818  37.597412  37.597412  39.880108  42.028534  39.074451  38.805901  41.491428  41.491428  48.339531  47.533867  49.950848  45.385445  40.954323  37.328861  37.194580  37.865963  46.056828  47.802425  47.802425  49.413738  44.311234  39.208733  39.208733
  0.546000  44.696709  42.542648  39.221813  35.811218  37.337009  38.055031  37.157505  36.888248  28.631025  28.631025  28.361767  28.361767  25.938452  25.758947  26.925728  29.349043  28.361767  33.298153  36.349731  36.439487  35.362453  35.182953  35.182953  34.285427  28.720776  26.207710  28.361767  35.900970  35.900970  37.337009  36.080479  31.503101  29.618301  29.618301  27.015482  26.566719  25.938452  27.464243  28.272015  28.272015  28.182262  32.849388  33.926418  37.157505  37.157505  36.977997  33.028893  25.848698  26.566719  28.272015  25.848698  26.028204  27.553995  32.400627  35.811218  35.811218  31.862110  27.194986  28.182262  29.438795  26.746223  27.015482  26.387215  25.938452  25.848698  26.207710  26.925728  26.925728  26.117956  30.426073  28.451519  26.476965  27.194986  33.477654  35.631714  38.773048  26.656469  30.964588  30.964588  32.580132  31.054338  30.695330  28.631025  28.631025  29.259291  30.067062  28.361767  26.387215  26.297461  25.669193  25.399937  25.669193  28.182262  28.182262  29.349043  27.643747  30.156816  27.553995  27.553995  26.117956  26.476965  32.131367  33.028893  29.618301  29.079786  29.079786  26.028204  25.399937  28.002758  25.489689  26.387215  26.387215  30.067062  33.118645  30.695330  29.797806  33.118645  33.118645  44.337700  42.004135  45.055717  38.234531  31.413351  26.746223  26.746223  27.823254  39.311565  41.824631  41.824631  43.888935  38.234531  30.067062  28.990034
  0.608000  41.054211  39.281105  36.826035  31.370327  35.462109  35.871288  34.643753  33.007042  24.550692  24.550692  24.550692  22.777586  20.595301  20.595301  21.686443  23.323156  22.777586  30.551971  32.597862  33.279827  32.052288  31.779505  31.779505  29.188044  26.460190  22.504801  23.595942  33.007042  33.007042  34.643753  32.597862  28.778866  24.414299  24.414299  22.641193  20.049730  20.322515  22.095621  23.459549  23.459549  23.186764  27.278543  30.279184  34.780144  34.780144  32.734257  29.188044  20.868086  21.413658  21.959229  20.868086  21.686443  22.641193  28.233295  34.916538  34.916538  29.188044  22.641193  23.868729  24.005121  20.868086  22.095621  21.004478  20.731693  21.004478  21.277266  21.686443  21.686443  20.731693  26.596582  25.369047  23.050371  22.641193  29.460829  34.507359  36.144073  21.959229  25.914618  25.914618  27.142151  28.778866  24.823477  23.459549  23.459549  25.778225  27.278543  23.459549  21.140871  21.140871  20.186123  20.186123  21.277266  24.277906  24.277906  22.777586  24.141514  26.869366  22.368408  22.368408  21.277266  20.868086  29.460829  28.096903  24.687084  26.187403  26.187403  19.913338  19.367767  22.504801  20.049730  23.186764  23.186764  27.960510  28.369688  28.506081  27.551332  27.687725  27.687725  38.599144  38.871929  42.554531  35.325718  28.506081  22.368408  21.004478  22.913979  35.325718  38.599144  38.599144  42.963711  31.779505  24.823477  24.141514
  0.659000  38.932507  37.260563  33.598202  29.458136  32.005867  33.996281  32.802032  32.563183  20.620697  20.620697  20.700312  20.381845  17.515650  17.595266  18.789515  21.576094  20.381845  27.467724  31.289318  32.085484  30.652384  30.333920  30.333920  27.945421  22.213028  18.152582  21.098396  29.458136  29.458136  32.005867  30.811619  25.955008  21.576094  21.576094  18.789515  18.152582  17.356417  19.426447  20.779928  20.779928  19.983765  26.751173  28.025040  33.200115  33.200115  31.687401  26.114241  17.834114  18.630281  20.779928  17.834114  18.232197  19.187597  26.114241  31.130085  31.130085  25.477308  19.665297  20.939161  22.451878  18.072966  19.028364  18.152582  17.834114  17.674881  17.754498  18.391430  18.391430  17.834114  24.681141  20.779928  18.471048  19.665297  27.626955  31.050468  34.712833  19.028364  23.805359  23.805359  25.556925  24.601524  23.964592  21.257629  21.257629  21.098396  24.760757  21.018778  18.232197  18.311813  17.834114  17.197182  17.436033  19.983765  19.983765  22.372261  20.859545  24.123825  19.346830  19.346830  18.550665  18.789515  25.556925  27.149256  22.451878  21.735329  21.735329  17.913733  17.037949  19.824530  16.958332  18.948748  18.948748  23.407276  27.388105  25.477308  23.088810  26.591940  26.591940  39.330593  36.703243  40.285992  31.368935  24.123825  19.426447  18.948748  19.824530  33.200115  35.349762  35.349762  39.171360  32.244717  22.849960  21.178013
