ENVI ASCII Plot File [Thu Oct 18 15:22:53 2018]
Column 1: Wavelength
Column 2: X:3828 Y:4407~~1
Column 3: X:3829 Y:4409~~2
Column 4: X:3829 Y:4410~~3
Column 5: X:3829 Y:4411~~4
Column 6: X:3829 Y:4412~~5
Column 7: X:3830 Y:4412~~6
Column 8: X:3831 Y:4412~~7
Column 9: X:3831 Y:4413~~8
Column 10: X:3831 Y:4414~~9
Column 11: X:3832 Y:4414~~10
Column 12: X:3833 Y:4414~~11
Column 13: X:3833 Y:4415~~12
Column 14: X:3833 Y:4416~~13
Column 15: X:3833 Y:4417~~14
Column 16: X:3833 Y:4418~~15
Column 17: X:3833 Y:4419~~16
Column 18: X:3833 Y:4420~~17
Column 19: X:3834 Y:4420~~18
Column 20: X:3835 Y:4420~~19
Column 21: X:3835 Y:4421~~20
Column 22: X:3835 Y:4422~~21
Column 23: X:3835 Y:4423~~22
Column 24: X:3836 Y:4423~~23
Column 25: X:3837 Y:4423~~24
Column 26: X:3837 Y:4422~~25
Column 27: X:3837 Y:4421~~26
Column 28: X:3838 Y:4421~~27
Column 29: X:3838 Y:4420~~28
Column 30: X:3837 Y:4420~~29
Column 31: X:3836 Y:4420~~30
Column 32: X:3836 Y:4419~~31
Column 33: X:3837 Y:4419~~32
Column 34: X:3838 Y:4419~~33
Column 35: X:3838 Y:4418~~34
Column 36: X:3838 Y:4417~~35
Column 37: X:3837 Y:4417~~36
Column 38: X:3836 Y:4417~~37
Column 39: X:3836 Y:4416~~38
Column 40: X:3836 Y:4415~~39
Column 41: X:3837 Y:4415~~40
Column 42: X:3838 Y:4415~~41
Column 43: X:3838 Y:4414~~42
Column 44: X:3837 Y:4414~~43
Column 45: X:3837 Y:4413~~44
Column 46: X:3838 Y:4413~~45
Column 47: X:3839 Y:4413~~46
Column 48: X:3839 Y:4412~~47
Column 49: X:3839 Y:4411~~48
Column 50: X:3840 Y:4411~~49
Column 51: X:3841 Y:4411~~1
Column 52: X:3841 Y:4410~~2
Column 53: X:3841 Y:4409~~3
Column 54: X:3840 Y:4409~~4
Column 55: X:3839 Y:4409~~5
Column 56: X:3839 Y:4408~~6
Column 57: X:3839 Y:4407~~7
Column 58: X:3840 Y:4407~~8
Column 59: X:3841 Y:4407~~9
Column 60: X:3841 Y:4406~~10
Column 61: X:3841 Y:4405~~11
Column 62: X:3840 Y:4405~~12
Column 63: X:3839 Y:4405~~13
Column 64: X:3839 Y:4404~~14
Column 65: X:3839 Y:4403~~15
Column 66: X:3839 Y:4402~~16
Column 67: X:3840 Y:4402~~17
Column 68: X:3840 Y:4401~~18
Column 69: X:3839 Y:4401~~19
Column 70: X:3838 Y:4401~~20
Column 71: X:3838 Y:4400~~21
Column 72: X:3838 Y:4399~~22
Column 73: X:3838 Y:4398~~23
Column 74: X:3838 Y:4397~~24
Column 75: X:3838 Y:4396~~25
Column 76: X:3839 Y:4396~~26
Column 77: X:3840 Y:4396~~27
Column 78: X:3840 Y:4397~~28
Column 79: X:3840 Y:4398~~29
Column 80: X:3841 Y:4398~~30
Column 81: X:3842 Y:4398~~31
Column 82: X:3842 Y:4399~~32
Column 83: X:3842 Y:4400~~33
Column 84: X:3842 Y:4401~~34
Column 85: X:3843 Y:4401~~35
Column 86: X:3843 Y:4402~~36
Column 87: X:3843 Y:4403~~37
Column 88: X:3843 Y:4404~~38
Column 89: X:3843 Y:4405~~39
Column 90: X:3844 Y:4405~~40
Column 91: X:3845 Y:4405~~41
Column 92: X:3845 Y:4406~~42
Column 93: X:3845 Y:4407~~43
Column 94: X:3844 Y:4407~~44
Column 95: X:3843 Y:4407~~45
Column 96: X:3842 Y:4407~~46
Column 97: X:3842 Y:4408~~47
Column 98: X:3842 Y:4409~~48
Column 99: X:3842 Y:4410~~49
Column 100: X:3841 Y:4410~~1
Column 101: X:3840 Y:4410~~2
Column 102: X:3840 Y:4411~~3
Column 103: X:3840 Y:4412~~4
Column 104: X:3840 Y:4413~~5
Column 105: X:3840 Y:4414~~6
Column 106: X:3840 Y:4415~~7
Column 107: X:3840 Y:4416~~8
Column 108: X:3839 Y:4416~~9
Column 109: X:3838 Y:4416~~10
Column 110: X:3838 Y:4417~~11
Column 111: X:3838 Y:4418~~12
Column 112: X:3838 Y:4419~~13
Column 113: X:3838 Y:4420~~14
Column 114: X:3838 Y:4421~~15
Column 115: X:3838 Y:4422~~16
Column 116: X:3838 Y:4423~~17
Column 117: X:3838 Y:4424~~18
Column 118: X:3837 Y:4424~~19
Column 119: X:3836 Y:4424~~20
Column 120: X:3836 Y:4425~~21
Column 121: X:3836 Y:4426~~22
Column 122: X:3837 Y:4426~~23
Column 123: X:3838 Y:4426~~24
Column 124: X:3839 Y:4426~~25
Column 125: X:3839 Y:4427~~26
Column 126: X:3839 Y:4428~~27
Column 127: X:3840 Y:4428~~28
Column 128: X:3841 Y:4428~~29
Column 129: X:3841 Y:4427~~30
Column 130: X:3841 Y:4426~~31
Column 131: X:3841 Y:4425~~32
Column 132: X:3841 Y:4424~~33
Column 133: X:3842 Y:4424~~34
Column 134: X:3842 Y:4423~~35
Column 135: X:3842 Y:4422~~36
Column 136: X:3843 Y:4422~~37
Column 137: X:3844 Y:4422~~38
Column 138: X:3847 Y:4419~~39
Column 139: X:3847 Y:4418~~40
Column 140: X:3847 Y:4417~~41
Column 141: X:3847 Y:4416~~42
Column 142: X:3847 Y:4415~~43
Column 143: X:3847 Y:4414~~44
Column 144: X:3839 Y:4404~~45
Column 145: X:3838 Y:4404~~46
Column 146: X:3837 Y:4404~~47
Column 147: X:3836 Y:4404~~48
Column 148: X:3835 Y:4404~~49
Column 149: X:3834 Y:4404~~1
Column 150: X:3833 Y:4404~~2
Column 151: X:3833 Y:4403~~3
  0.427000  45.986954  46.183479  45.004326  44.611279  44.611279  44.807804  45.986954  45.986954  45.397377  46.576530  45.200851  44.414749  44.414749  45.200851  44.807804  45.200851  45.986954  45.986954  44.218224  43.432121  43.825176  44.414749  43.825176  44.021698  43.039074  43.235596  40.877293  42.842548  43.628651  44.218224  45.593903  43.628651  41.859921  41.073818  40.877293  43.235596  44.611279  44.021698  44.414749  42.646023  40.484241  41.859921  43.039074  43.825176  43.825176  41.859921  41.466869  43.432121  40.680767  40.484241  41.663395  42.056446  43.825176  43.432121  44.807804  45.200851  43.432121  41.270344  42.449497  42.449497  44.414749  45.593903  45.200851  44.807804  44.611279  41.663395  40.287716  43.235596  44.611279  43.235596  40.877293  43.628651  43.432121  43.235596  41.466869  40.484241  41.270344  40.877293  41.073818  40.877293  39.894669  40.484241  40.877293  40.484241  39.305088  40.680767  40.484241  40.484241  39.894669  40.680767  40.680767  40.484241  40.680767  41.270344  40.680767  40.091190  40.287716  40.091190  41.663395  41.859921  40.680767  40.091190  40.877293  40.680767  39.108562  40.091190  39.305088  40.877293  40.877293  41.073818  41.859921  42.842548  40.877293  40.287716  41.270344  41.270344  43.628651  44.218224  45.593903  45.397377  44.611279  41.663395  39.894669  40.680767  40.484241  40.484241  40.484241  40.877293  39.305088  39.698139  40.287716  39.894669  40.287716  41.073818  43.628651  41.466869  41.270344  40.091190  40.287716  40.287716  39.894669  40.091190  45.200851  45.200851  45.986954  45.986954  45.986954  45.593903  44.611279  44.807804
  0.478000  47.399593  46.191105  47.668148  47.802425  46.996765  47.399593  47.936699  46.862492  47.399593  48.339531  46.728210  47.668148  46.996765  45.788277  47.399593  46.593937  48.339531  48.473804  46.593937  45.654003  45.922554  46.593937  44.714066  43.371300  42.431366  41.894260  37.328861  43.371300  45.116894  46.593937  45.654003  44.176956  40.685772  38.537346  39.745834  44.848339  45.251171  46.996765  46.996765  43.102749  39.745834  38.537346  43.639851  45.788277  45.788277  40.551495  42.297089  44.176956  39.880108  37.060307  38.268795  39.880108  43.639851  44.579788  45.116894  46.191105  42.834194  37.328861  38.671623  38.671623  44.311234  46.862492  47.131042  46.325382  44.176956  40.685772  37.463135  41.088600  44.982620  43.237022  38.940178  45.116894  42.968468  41.625706  38.537346  37.463135  38.268795  38.000244  38.000244  38.537346  37.731689  38.403069  37.328861  37.597412  37.731689  37.194580  37.731689  36.926029  37.731689  36.254646  36.254646  38.000244  36.523201  37.194580  36.120373  36.791752  37.731689  36.926029  38.268795  41.759979  39.880108  39.611557  38.000244  38.134518  38.134518  37.194580  35.986092  38.134518  39.745834  38.537346  40.685772  43.371300  37.328861  39.343006  37.731689  38.805901  43.908405  45.251171  46.056828  46.862492  43.371300  38.940178  36.657475  37.194580  37.731689  37.865963  37.865963  37.194580  37.731689  37.194580  37.194580  38.000244  37.328861  38.805901  42.028534  37.194580  36.523201  37.597412  37.194580  37.463135  38.268795  36.120373  47.131042  46.191105  46.325382  48.070976  47.399593  47.399593  48.205254  47.265316
