ENVI ASCII Plot File [Wed Oct 24 15:13:52 2018]
Column 1: Wavelength
Column 2: X:8458 Y:4297~~1
Column 3: X:8457 Y:4300~~2
Column 4: X:8457 Y:4299~~3
Column 5: X:8457 Y:4298~~4
Column 6: X:8456 Y:4298~~5
Column 7: X:8456 Y:4297~~6
Column 8: X:8456 Y:4296~~7
Column 9: X:8455 Y:4296~~8
Column 10: X:8454 Y:4296~~9
Column 11: X:8454 Y:4295~~10
Column 12: X:8454 Y:4294~~11
Column 13: X:8454 Y:4293~~12
Column 14: X:8453 Y:4293~~13
Column 15: X:8453 Y:4292~~14
Column 16: X:8453 Y:4291~~15
Column 17: X:8453 Y:4290~~16
Column 18: X:8453 Y:4289~~17
Column 19: X:8453 Y:4288~~18
Column 20: X:8453 Y:4287~~19
Column 21: X:8452 Y:4287~~20
Column 22: X:8451 Y:4287~~21
Column 23: X:8451 Y:4286~~22
Column 24: X:8451 Y:4285~~23
Column 25: X:8451 Y:4284~~24
Column 26: X:8452 Y:4284~~25
Column 27: X:8453 Y:4284~~26
Column 28: X:8454 Y:4284~~27
Column 29: X:8455 Y:4284~~28
Column 30: X:8456 Y:4284~~29
Column 31: X:8457 Y:4284~~30
Column 32: X:8458 Y:4284~~31
Column 33: X:8459 Y:4284~~32
Column 34: X:8460 Y:4284~~33
Column 35: X:8461 Y:4284~~34
Column 36: X:8461 Y:4285~~35
Column 37: X:8461 Y:4286~~36
Column 38: X:8461 Y:4287~~37
Column 39: X:8462 Y:4287~~38
Column 40: X:8463 Y:4287~~39
Column 41: X:8464 Y:4287~~40
Column 42: X:8465 Y:4287~~41
Column 43: X:8466 Y:4287~~42
Column 44: X:8466 Y:4288~~43
Column 45: X:8466 Y:4289~~44
Column 46: X:8466 Y:4290~~45
Column 47: X:8467 Y:4290~~46
Column 48: X:8468 Y:4290~~47
Column 49: X:8469 Y:4290~~48
Column 50: X:8470 Y:4290~~49
Column 51: X:8471 Y:4290~~1
Column 52: X:8472 Y:4290~~2
Column 53: X:8473 Y:4290~~3
Column 54: X:8474 Y:4290~~4
Column 55: X:8475 Y:4290~~5
Column 56: X:8476 Y:4290~~6
Column 57: X:8477 Y:4290~~7
Column 58: X:8478 Y:4290~~8
Column 59: X:8479 Y:4290~~9
Column 60: X:8479 Y:4289~~10
Column 61: X:8479 Y:4288~~11
Column 62: X:8479 Y:4287~~12
Column 63: X:8479 Y:4286~~13
Column 64: X:8479 Y:4285~~14
Column 65: X:8479 Y:4284~~15
Column 66: X:8479 Y:4283~~16
Column 67: X:8479 Y:4282~~17
Column 68: X:8478 Y:4282~~18
Column 69: X:8477 Y:4282~~19
Column 70: X:8476 Y:4282~~20
Column 71: X:8475 Y:4282~~21
Column 72: X:8475 Y:4281~~22
Column 73: X:8475 Y:4280~~23
Column 74: X:8475 Y:4279~~24
Column 75: X:8475 Y:4278~~25
Column 76: X:8475 Y:4277~~26
Column 77: X:8475 Y:4276~~27
Column 78: X:8474 Y:4276~~28
Column 79: X:8473 Y:4276~~29
Column 80: X:8472 Y:4276~~30
Column 81: X:8471 Y:4276~~31
Column 82: X:8470 Y:4276~~32
Column 83: X:8469 Y:4276~~33
Column 84: X:8468 Y:4276~~34
Column 85: X:8467 Y:4276~~35
Column 86: X:8466 Y:4276~~36
Column 87: X:8465 Y:4276~~37
Column 88: X:8464 Y:4276~~38
Column 89: X:8463 Y:4276~~39
Column 90: X:8462 Y:4276~~40
Column 91: X:8461 Y:4276~~41
Column 92: X:8460 Y:4276~~42
Column 93: X:8459 Y:4276~~43
Column 94: X:8458 Y:4276~~44
Column 95: X:8458 Y:4275~~45
Column 96: X:8458 Y:4274~~46
Column 97: X:8458 Y:4273~~47
Column 98: X:8458 Y:4272~~48
Column 99: X:8458 Y:4271~~49
Column 100: X:8458 Y:4270~~1
Column 101: X:8458 Y:4269~~2
Column 102: X:8458 Y:4268~~3
Column 103: X:8458 Y:4267~~4
Column 104: X:8458 Y:4266~~5
Column 105: X:8458 Y:4265~~6
Column 106: X:8458 Y:4264~~7
Column 107: X:8458 Y:4263~~8
Column 108: X:8458 Y:4262~~9
Column 109: X:8458 Y:4261~~10
Column 110: X:8458 Y:4260~~11
Column 111: X:8458 Y:4259~~12
Column 112: X:8458 Y:4258~~13
Column 113: X:8459 Y:4258~~14
Column 114: X:8462 Y:4256~~15
Column 115: X:8462 Y:4257~~16
Column 116: X:8462 Y:4258~~17
Column 117: X:8463 Y:4258~~18
Column 118: X:8463 Y:4259~~19
Column 119: X:8464 Y:4259~~20
Column 120: X:8465 Y:4259~~21
Column 121: X:8466 Y:4259~~22
Column 122: X:8467 Y:4259~~23
Column 123: X:8467 Y:4260~~24
Column 124: X:8467 Y:4261~~25
Column 125: X:8467 Y:4262~~26
Column 126: X:8467 Y:4263~~27
Column 127: X:8467 Y:4264~~28
Column 128: X:8467 Y:4265~~29
Column 129: X:8467 Y:4266~~30
Column 130: X:8467 Y:4267~~31
Column 131: X:8467 Y:4268~~32
Column 132: X:8467 Y:4269~~33
Column 133: X:8467 Y:4270~~34
Column 134: X:8467 Y:4271~~35
Column 135: X:8467 Y:4272~~36
Column 136: X:8467 Y:4273~~37
Column 137: X:8467 Y:4274~~38
Column 138: X:8467 Y:4275~~39
Column 139: X:8467 Y:4276~~40
Column 140: X:8467 Y:4277~~41
Column 141: X:8467 Y:4278~~42
Column 142: X:8467 Y:4279~~43
Column 143: X:8467 Y:4280~~44
Column 144: X:8466 Y:4280~~45
Column 145: X:8465 Y:4280~~46
Column 146: X:8465 Y:4281~~47
Column 147: X:8465 Y:4282~~48
Column 148: X:8465 Y:4283~~49
Column 149: X:8465 Y:4284~~1
Column 150: X:8465 Y:4285~~2
Column 151: X:8462 Y:4292~~3
  0.427000  53.691971  55.263439  55.263439  54.739620  53.430058  53.953884  52.906231  54.477707  54.739620  54.739620  53.953884  53.953884  53.168144  52.644321  54.739620  53.430058  53.430058  53.953884  53.430058  54.215794  52.382412  53.430058  54.739620  54.215794  54.215794  53.430058  53.691971  52.644321  52.644321  52.120499  52.120499  53.953884  53.430058  53.430058  53.430058  52.120499  53.430058  52.906231  52.906231  52.644321  53.953884  52.382412  53.168144  53.168144  53.430058  52.120499  53.953884  52.644321  52.644321  51.858585  53.691971  52.382412  52.906231  52.120499  52.120499  52.906231  53.168144  52.644321  51.858585  53.430058  52.382412  52.382412  51.858585  50.810936  51.334763  52.906231  52.120499  52.120499  51.072849  52.382412  52.906231  52.644321  51.334763  52.120499  53.691971  52.382412  52.906231  52.644321  52.906231  51.858585  52.644321  52.644321  51.334763  51.858585  52.906231  52.906231  52.120499  52.120499  53.168144  53.168144  52.382412  52.644321  52.120499  52.382412  51.596676  53.430058  51.858585  52.644321  52.644321  52.644321  52.382412  51.334763  51.072849  52.906231  51.072849  51.596676  51.858585  51.072849  51.334763  50.287117  51.334763  51.334763  51.334763  51.596676  50.287117  50.025204  51.334763  50.549023  49.763290  50.549023  50.025204  50.025204  51.334763  51.858585  51.072849  50.810936  50.287117  50.287117  52.120499  51.596676  50.810936  51.858585  52.120499  52.120499  52.644321  51.072849  51.072849  51.858585  52.382412  52.906231  51.858585  51.334763  53.168144  51.858585  52.906231  51.072849  53.168144  53.168144  52.906231  53.953884
