ENVI ASCII Plot File [Thu Oct 25 13:39:39 2018]
Column 1: Wavelength
Column 2: X:8847 Y:3877~~1
Column 3: X:8845 Y:3881~~2
Column 4: X:8844 Y:3881~~3
Column 5: X:8844 Y:3880~~4
Column 6: X:8844 Y:3879~~5
Column 7: X:8844 Y:3878~~6
Column 8: X:8844 Y:3877~~7
Column 9: X:8844 Y:3876~~8
Column 10: X:8845 Y:3876~~9
Column 11: X:8846 Y:3876~~10
Column 12: X:8846 Y:3875~~11
Column 13: X:8846 Y:3874~~12
Column 14: X:8846 Y:3873~~13
Column 15: X:8846 Y:3872~~14
Column 16: X:8845 Y:3872~~15
Column 17: X:8844 Y:3872~~16
Column 18: X:8843 Y:3872~~17
Column 19: X:8842 Y:3872~~18
Column 20: X:8842 Y:3871~~19
Column 21: X:8842 Y:3870~~20
Column 22: X:8842 Y:3869~~21
Column 23: X:8843 Y:3869~~22
Column 24: X:8844 Y:3869~~23
Column 25: X:8845 Y:3869~~24
Column 26: X:8846 Y:3869~~25
Column 27: X:8847 Y:3869~~26
Column 28: X:8848 Y:3869~~27
Column 29: X:8849 Y:3869~~28
Column 30: X:8850 Y:3869~~29
Column 31: X:8850 Y:3868~~30
Column 32: X:8850 Y:3867~~31
Column 33: X:8849 Y:3867~~32
Column 34: X:8848 Y:3867~~33
Column 35: X:8847 Y:3867~~34
Column 36: X:8847 Y:3866~~35
Column 37: X:8847 Y:3865~~36
Column 38: X:8847 Y:3864~~37
Column 39: X:8847 Y:3863~~38
Column 40: X:8847 Y:3862~~39
Column 41: X:8847 Y:3861~~40
Column 42: X:8847 Y:3860~~41
Column 43: X:8847 Y:3859~~42
Column 44: X:8847 Y:3858~~43
Column 45: X:8847 Y:3857~~44
Column 46: X:8846 Y:3857~~45
Column 47: X:8845 Y:3857~~46
Column 48: X:8844 Y:3857~~47
Column 49: X:8844 Y:3856~~48
Column 50: X:8844 Y:3855~~49
Column 51: X:8844 Y:3854~~1
Column 52: X:8845 Y:3854~~2
Column 53: X:8846 Y:3854~~3
Column 54: X:8847 Y:3854~~4
Column 55: X:8848 Y:3854~~5
Column 56: X:8848 Y:3853~~6
Column 57: X:8848 Y:3852~~7
Column 58: X:8848 Y:3851~~8
Column 59: X:8848 Y:3850~~9
Column 60: X:8847 Y:3850~~10
Column 61: X:8846 Y:3850~~11
Column 62: X:8846 Y:3849~~12
Column 63: X:8846 Y:3848~~13
Column 64: X:8846 Y:3847~~14
Column 65: X:8847 Y:3847~~15
Column 66: X:8848 Y:3847~~16
Column 67: X:8848 Y:3846~~17
Column 68: X:8848 Y:3845~~18
Column 69: X:8848 Y:3844~~19
Column 70: X:8847 Y:3844~~20
Column 71: X:8846 Y:3844~~21
Column 72: X:8845 Y:3844~~22
Column 73: X:8845 Y:3843~~23
Column 74: X:8845 Y:3842~~24
Column 75: X:8845 Y:3841~~25
Column 76: X:8845 Y:3840~~26
Column 77: X:8846 Y:3840~~27
Column 78: X:8847 Y:3840~~28
Column 79: X:8848 Y:3840~~29
Column 80: X:8848 Y:3839~~30
Column 81: X:8848 Y:3838~~31
Column 82: X:8848 Y:3837~~32
Column 83: X:8848 Y:3836~~33
Column 84: X:8848 Y:3835~~34
Column 85: X:8848 Y:3834~~35
Column 86: X:8847 Y:3834~~36
Column 87: X:8846 Y:3834~~37
Column 88: X:8845 Y:3834~~38
Column 89: X:8844 Y:3834~~39
Column 90: X:8843 Y:3834~~40
Column 91: X:8842 Y:3834~~41
Column 92: X:8842 Y:3833~~42
Column 93: X:8842 Y:3832~~43
Column 94: X:8843 Y:3832~~44
Column 95: X:8844 Y:3832~~45
Column 96: X:8845 Y:3832~~46
Column 97: X:8846 Y:3832~~47
Column 98: X:8847 Y:3832~~48
Column 99: X:8848 Y:3832~~49
Column 100: X:8848 Y:3833~~1
Column 101: X:8849 Y:3833~~2
Column 102: X:8850 Y:3833~~3
Column 103: X:8851 Y:3833~~4
Column 104: X:8852 Y:3833~~5
Column 105: X:8853 Y:3833~~6
Column 106: X:8854 Y:3833~~7
Column 107: X:8855 Y:3833~~8
Column 108: X:8856 Y:3833~~9
Column 109: X:8856 Y:3832~~10
Column 110: X:8856 Y:3831~~11
Column 111: X:8856 Y:3830~~12
Column 112: X:8856 Y:3829~~13
Column 113: X:8856 Y:3828~~14
Column 114: X:8856 Y:3827~~15
Column 115: X:8856 Y:3826~~16
Column 116: X:8856 Y:3825~~17
Column 117: X:8856 Y:3824~~18
Column 118: X:8856 Y:3823~~19
Column 119: X:8856 Y:3822~~20
Column 120: X:8856 Y:3821~~21
Column 121: X:8856 Y:3820~~22
Column 122: X:8856 Y:3819~~23
Column 123: X:8856 Y:3818~~24
Column 124: X:8856 Y:3817~~25
Column 125: X:8856 Y:3816~~26
Column 126: X:8856 Y:3815~~27
Column 127: X:8856 Y:3814~~28
Column 128: X:8856 Y:3813~~29
Column 129: X:8855 Y:3813~~30
Column 130: X:8854 Y:3813~~31
Column 131: X:8853 Y:3813~~32
Column 132: X:8853 Y:3812~~33
Column 133: X:8853 Y:3811~~34
Column 134: X:8853 Y:3810~~35
Column 135: X:8853 Y:3809~~36
Column 136: X:8853 Y:3808~~37
Column 137: X:8853 Y:3807~~38
Column 138: X:8853 Y:3806~~39
Column 139: X:8853 Y:3805~~40
Column 140: X:8853 Y:3804~~41
Column 141: X:8853 Y:3803~~42
Column 142: X:8867 Y:3902~~43
Column 143: X:8867 Y:3903~~44
Column 144: X:8866 Y:3903~~45
Column 145: X:8865 Y:3903~~46
Column 146: X:8864 Y:3903~~47
Column 147: X:8863 Y:3903~~48
Column 148: X:8863 Y:3902~~49
Column 149: X:8862 Y:3902~~1
Column 150: X:8862 Y:3901~~2
Column 151: X:8861 Y:3901~~3
  0.427000  51.596676  54.739620  53.691971  54.739620  52.382412  50.810936  51.596676  51.858585  51.072849  51.596676  51.596676  51.858585  51.596676  50.810936  51.596676  49.763290  51.334763  52.120499  50.810936  49.763290  50.025204  49.239464  50.549023  49.501377  50.549023  50.549023  50.810936  50.810936  52.120499  51.072849  51.072849  51.858585  50.549023  51.858585  52.382412  50.810936  51.072849  51.596676  50.549023  51.596676  51.596676  49.239464  49.501377  49.501377  51.596676  50.025204  51.334763  51.334763  51.072849  49.501377  50.287117  50.287117  50.549023  51.858585  51.858585  51.072849  51.334763  51.072849  50.287117  50.287117  50.287117  50.810936  50.810936  50.549023  50.549023  49.763290  50.549023  49.763290  50.287117  49.239464  50.287117  51.334763  50.810936  49.501377  47.929909  50.025204  50.287117  49.239464  50.810936  49.501377  49.501377  50.025204  51.858585  50.287117  49.501377  52.120499  50.025204  50.287117  52.382412  49.239464  50.025204  49.239464  52.120499  52.120499  52.644321  52.644321  50.287117  52.906231  50.810936  51.072849  50.810936  51.858585  50.549023  50.549023  49.763290  50.810936  49.501377  50.810936  51.072849  51.334763  51.072849  52.120499  49.763290  49.239464  49.239464  50.810936  50.287117  48.715641  50.810936  50.810936  50.810936  49.763290  48.453728  48.715641  49.239464  48.977554  47.406082  48.453728  49.239464  48.191814  49.501377  47.929909  48.453728  48.715641  48.715641  49.501377  47.667995  48.715641  47.667995  47.667995  53.691971  53.430058  52.644321  52.644321  52.906231  53.691971  54.739620  54.477707  55.263439  55.001530
  0.478000  50.984283  54.574726  50.804760  56.369946  50.804760  49.548107  48.111927  49.189060  48.830017  52.061417  52.061417  51.881893  50.445713  51.881893  50.266193  49.548107  48.650494  48.470974  49.009541  46.675751  47.752884  46.675751  48.291451  47.932404  47.752884  47.573364  47.932404  47.932404  47.932404  51.343327  51.343327  51.343327  49.009541  49.189060  51.343327  48.111927  48.470974  49.907146  47.573364  48.650494  48.650494  47.932404  46.855270  46.855270  48.470974  47.573364  47.752884  48.830017  48.291451  46.137184  47.214317  48.291451  47.573364  49.189060  49.189060  48.470974  48.650494  46.675751  48.291451  47.034798  47.034798  46.855270  48.470974  46.316708  46.137184  45.598618  46.137184  48.291451  48.291451  46.316708  46.496231  47.573364  48.470974  48.291451  47.752884  47.573364  47.752884  45.778141  47.573364  46.496231  47.034798  49.009541  50.804760  48.111927  48.830017  49.548107  48.470974  47.752884  49.189060  47.932404  45.060055  45.598618  48.291451  48.291451  49.907146  51.163803  48.650494  49.907146  49.189060  49.009541  49.189060  48.470974  46.496231  46.496231  47.034798  47.932404  46.496231  46.855270  49.009541  49.727627  50.086674  47.752884  48.650494  48.111927  48.111927  45.957664  45.957664  45.957664  45.957664  45.957664  45.957664  43.803398  45.239574  44.701008  44.341961  44.521488  42.367218  44.701008  44.162441  44.701008  44.162441  43.444355  44.341961  43.982922  42.546745  43.623875  43.803398  43.264832  44.521488  44.521488  52.061417  54.036160  53.497593  53.497593  52.420456  53.856636  54.933765  54.395203  52.779503  54.395203
  0.546000  37.348358  44.051907  39.742481  42.615433  39.383362  36.271000  36.031586  37.946884  36.151291  38.425709  38.425709  38.784828  36.869530  36.749825  37.946884  37.468063  35.433052  37.228649  36.869530  34.116287  33.637463  34.714817  34.475407  33.517754  33.757168  34.355698  33.038929  33.038929  33.158634  36.630119  36.630119  38.425709  37.707478  35.792171  38.665123  36.989239  35.911880  35.911880  35.193642  35.313347  33.637463  33.278343  34.834526  34.834526  34.714817  33.876873  33.637463  35.073933  34.475407  34.355698  34.475407  35.672466  34.355698  33.757168  33.757168  34.116287  35.672466  33.637463  33.757168  34.116287  34.116287  35.792171  35.313347  34.235992  34.355698  33.278343  33.637463  34.834526  34.595112  32.081280  32.799515  33.996582  34.355698  32.200985  32.081280  33.876873  34.355698  32.679810  33.757168  31.602453  31.123631  33.158634  35.433052  32.799515  33.158634  34.954231  33.517754  34.355698  33.876873  31.482750  31.003923  29.806860  33.637463  33.637463  37.707478  35.313347  34.834526  36.390705  34.355698  34.595112  34.235992  33.038929  33.876873  33.876873  32.440395  32.799515  31.243336  31.003923  33.398048  33.996582  33.637463  32.919224  33.517754  32.081280  32.081280  31.482750  30.764511  28.849209  30.046274  30.046274  29.447742  28.490091  27.891560  28.609798  27.652147  26.933910  27.053617  27.053617  26.335379  28.011267  28.011267  27.293030  26.694498  25.976259  26.335379  26.335379  27.412735  26.215672  26.335379  26.335379  40.101601  41.059250  40.939541  41.178955  40.101601  40.819836  41.538074  42.136604  42.136604  41.777485
