ENVI ASCII Plot File [Thu Oct 18 15:14:29 2018]
Column 1: Wavelength
Column 2: X:8683 Y:4818~~1
Column 3: X:8683 Y:4820~~2
Column 4: X:8683 Y:4821~~3
Column 5: X:8682 Y:4821~~4
Column 6: X:8682 Y:4822~~5
Column 7: X:8681 Y:4822~~6
Column 8: X:8680 Y:4822~~7
Column 9: X:8680 Y:4823~~8
Column 10: X:8680 Y:4824~~9
Column 11: X:8679 Y:4824~~10
Column 12: X:8678 Y:4824~~11
Column 13: X:8677 Y:4824~~12
Column 14: X:8676 Y:4824~~13
Column 15: X:8676 Y:4825~~14
Column 16: X:8676 Y:4826~~15
Column 17: X:8676 Y:4827~~16
Column 18: X:8675 Y:4827~~17
Column 19: X:8674 Y:4827~~18
Column 20: X:8673 Y:4827~~19
Column 21: X:8672 Y:4827~~20
Column 22: X:8672 Y:4828~~21
Column 23: X:8672 Y:4829~~22
Column 24: X:8672 Y:4830~~23
Column 25: X:8672 Y:4831~~24
Column 26: X:8672 Y:4832~~25
Column 27: X:8671 Y:4832~~26
Column 28: X:8670 Y:4832~~27
Column 29: X:8670 Y:4833~~28
Column 30: X:8670 Y:4834~~29
Column 31: X:8670 Y:4835~~30
Column 32: X:8670 Y:4836~~31
Column 33: X:8669 Y:4836~~32
Column 34: X:8668 Y:4836~~33
Column 35: X:8667 Y:4836~~34
Column 36: X:8666 Y:4836~~35
Column 37: X:8666 Y:4837~~36
Column 38: X:8666 Y:4838~~37
Column 39: X:8666 Y:4839~~38
Column 40: X:8665 Y:4839~~39
Column 41: X:8664 Y:4839~~40
Column 42: X:8664 Y:4840~~41
Column 43: X:8664 Y:4841~~42
Column 44: X:8664 Y:4842~~43
Column 45: X:8664 Y:4843~~44
Column 46: X:8664 Y:4844~~45
Column 47: X:8664 Y:4845~~46
Column 48: X:8664 Y:4846~~47
Column 49: X:8664 Y:4847~~48
Column 50: X:8664 Y:4848~~49
Column 51: X:8663 Y:4848~~1
Column 52: X:8662 Y:4848~~2
Column 53: X:8661 Y:4848~~3
Column 54: X:8661 Y:4849~~4
Column 55: X:8661 Y:4850~~5
Column 56: X:8661 Y:4851~~6
Column 57: X:8661 Y:4852~~7
Column 58: X:8661 Y:4853~~8
Column 59: X:8660 Y:4853~~9
Column 60: X:8659 Y:4853~~10
Column 61: X:8658 Y:4853~~11
Column 62: X:8657 Y:4853~~12
Column 63: X:8656 Y:4853~~13
Column 64: X:8655 Y:4853~~14
Column 65: X:8654 Y:4853~~15
Column 66: X:8654 Y:4854~~16
Column 67: X:8654 Y:4855~~17
Column 68: X:8654 Y:4856~~18
Column 69: X:8654 Y:4857~~19
Column 70: X:8653 Y:4857~~20
Column 71: X:8652 Y:4857~~21
Column 72: X:8651 Y:4857~~22
Column 73: X:8650 Y:4857~~23
Column 74: X:8649 Y:4857~~24
Column 75: X:8648 Y:4857~~25
Column 76: X:8647 Y:4857~~26
Column 77: X:8646 Y:4857~~27
Column 78: X:8645 Y:4857~~28
Column 79: X:8645 Y:4858~~29
Column 80: X:8645 Y:4859~~30
Column 81: X:8645 Y:4860~~31
Column 82: X:8644 Y:4860~~32
Column 83: X:8643 Y:4860~~33
Column 84: X:8642 Y:4860~~34
Column 85: X:8641 Y:4860~~35
Column 86: X:8640 Y:4860~~36
Column 87: X:8639 Y:4860~~37
Column 88: X:8638 Y:4860~~38
Column 89: X:8637 Y:4860~~39
Column 90: X:8637 Y:4861~~40
Column 91: X:8637 Y:4862~~41
Column 92: X:8637 Y:4863~~42
Column 93: X:8636 Y:4863~~43
Column 94: X:8635 Y:4863~~44
Column 95: X:8634 Y:4863~~45
Column 96: X:8633 Y:4863~~46
Column 97: X:8632 Y:4863~~47
Column 98: X:8631 Y:4863~~48
Column 99: X:8631 Y:4864~~49
Column 100: X:8631 Y:4865~~1
Column 101: X:8631 Y:4866~~2
Column 102: X:8631 Y:4867~~3
Column 103: X:8631 Y:4868~~4
Column 104: X:8632 Y:4868~~5
Column 105: X:8633 Y:4868~~6
Column 106: X:8633 Y:4869~~7
Column 107: X:8633 Y:4870~~8
Column 108: X:8632 Y:4870~~9
Column 109: X:8631 Y:4870~~10
Column 110: X:8631 Y:4871~~11
Column 111: X:8631 Y:4872~~12
Column 112: X:8631 Y:4873~~13
Column 113: X:8630 Y:4873~~14
Column 114: X:8629 Y:4873~~15
Column 115: X:8628 Y:4873~~16
Column 116: X:8627 Y:4873~~17
Column 117: X:8627 Y:4874~~18
Column 118: X:8627 Y:4875~~19
Column 119: X:8625 Y:4875~~20
Column 120: X:8625 Y:4876~~21
Column 121: X:8626 Y:4876~~22
Column 122: X:8625 Y:4876~~23
Column 123: X:8625 Y:4877~~24
Column 124: X:8624 Y:4877~~25
Column 125: X:8624 Y:4878~~26
Column 126: X:8625 Y:4878~~27
Column 127: X:8625 Y:4879~~28
Column 128: X:8624 Y:4879~~29
Column 129: X:8624 Y:4880~~30
Column 130: X:8625 Y:4880~~31
Column 131: X:8626 Y:4880~~32
Column 132: X:8627 Y:4880~~33
Column 133: X:8628 Y:4880~~34
Column 134: X:8629 Y:4880~~35
Column 135: X:8629 Y:4881~~36
Column 136: X:8630 Y:4881~~37
Column 137: X:8630 Y:4882~~38
Column 138: X:8631 Y:4882~~39
Column 139: X:8631 Y:4883~~40
Column 140: X:8630 Y:4883~~41
Column 141: X:8630 Y:4884~~42
Column 142: X:8631 Y:4884~~43
Column 143: X:8631 Y:4885~~44
Column 144: X:8630 Y:4885~~45
Column 145: X:8630 Y:4886~~46
Column 146: X:8631 Y:4886~~47
Column 147: X:8631 Y:4887~~48
Column 148: X:8630 Y:4887~~49
Column 149: X:8630 Y:4888~~1
Column 150: X:8631 Y:4888~~2
Column 151: X:8631 Y:4889~~3
  0.427000  46.773056  47.559158  46.576530  46.380005  46.380005  45.397377  45.790432  46.969578  46.969578  45.986954  45.986954  45.397377  44.807804  43.628651  43.235596  45.004326  44.807804  44.218224  43.235596  44.218224  44.218224  42.842548  43.235596  43.628651  43.039074  43.039074  42.842548  42.449497  42.842548  44.218224  44.218224  44.021698  43.628651  43.235596  42.449497  42.449497  42.449497  42.252972  43.432121  42.842548  42.449497  41.663395  41.663395  41.859921  42.646023  42.056446  41.663395  41.859921  43.039074  42.252972  41.270344  42.449497  42.449497  42.842548  42.449497  43.432121  43.235596  41.859921  42.646023  42.842548  43.039074  43.039074  42.842548  43.235596  41.663395  42.646023  41.859921  42.252972  41.073818  41.859921  43.432121  42.842548  42.646023  41.073818  41.270344  42.252972  43.039074  42.646023  42.252972  41.073818  42.842548  42.842548  42.252972  42.842548  42.449497  42.646023  42.842548  43.825176  43.039074  42.449497  42.449497  43.432121  43.432121  43.432121  43.039074  43.432121  44.414749  43.825176  43.628651  44.021698  44.021698  43.039074  42.056446  43.235596  43.628651  43.825176  43.825176  42.252972  42.646023  42.252972  42.449497  43.235596  42.449497  41.663395  42.646023  42.842548  42.449497  42.252972  43.235596  42.056446  43.235596  42.842548  41.466869  41.270344  41.663395  41.663395  42.252972  41.859921  42.056446  42.646023  41.663395  42.449497  41.663395  42.056446  42.646023  42.449497  43.628651  43.235596  42.449497  44.218224  43.825176  43.235596  43.235596  42.842548  44.021698  44.414749  43.628651  44.021698  43.432121  43.432121
  0.478000  49.816570  50.756508  50.487953  49.145187  49.145187  45.251171  46.593937  46.996765  46.996765  46.191105  44.176956  44.982620  45.519722  43.639851  43.505577  44.714066  44.445515  43.639851  42.834194  44.848339  44.848339  43.371300  43.774132  41.222878  41.357155  41.357155  40.551495  41.491428  42.162811  42.028534  41.222878  41.894260  41.625706  41.088600  40.820045  42.162811  41.759979  41.357155  40.282940  41.088600  40.954323  39.745834  38.940178  39.477283  38.671623  38.805901  39.880108  39.074451  39.208733  38.940178  40.014389  40.148666  40.148666  40.820045  40.685772  39.343006  39.343006  38.805901  40.014389  40.954323  40.282940  40.954323  40.685772  40.148666  38.940178  39.208733  39.611557  39.745834  39.611557  40.417217  40.820045  40.685772  39.611557  39.611557  40.685772  39.745834  39.745834  39.343006  40.551495  38.940178  40.014389  40.685772  40.417217  41.088600  40.685772  41.222878  39.208733  41.625706  40.685772  40.820045  41.625706  40.820045  40.820045  40.820045  41.357155  42.028534  44.176956  41.894260  41.491428  42.431366  42.431366  42.162811  41.088600  43.237022  42.699917  41.357155  41.357155  40.417217  40.551495  39.477283  40.014389  40.148666  38.805901  38.940178  40.282940  39.343006  39.477283  38.671623  39.208733  38.134518  39.208733  40.685772  39.074451  39.477283  39.208733  37.731689  39.880108  38.805901  39.208733  39.611557  38.537346  40.282940  39.477283  40.820045  40.148666  39.477283  39.880108  42.028534  39.477283  41.625706  41.759979  42.699917  42.699917  41.894260  43.102749  43.237022  43.102749  42.968468  42.028534  42.028534
