ENVI ASCII Plot File [Thu Oct 18 15:20:44 2018]
Column 1: Wavelength
Column 2: X:3187 Y:5858~~1
Column 3: X:3190 Y:5860~~2
Column 4: X:3190 Y:5861~~3
Column 5: X:3191 Y:5861~~4
Column 6: X:3192 Y:5861~~5
Column 7: X:3193 Y:5861~~6
Column 8: X:3193 Y:5860~~7
Column 9: X:3193 Y:5859~~8
Column 10: X:3193 Y:5858~~9
Column 11: X:3193 Y:5857~~10
Column 12: X:3193 Y:5856~~11
Column 13: X:3193 Y:5855~~12
Column 14: X:3193 Y:5854~~13
Column 15: X:3193 Y:5853~~14
Column 16: X:3194 Y:5853~~15
Column 17: X:3195 Y:5853~~16
Column 18: X:3196 Y:5853~~17
Column 19: X:3196 Y:5854~~18
Column 20: X:3196 Y:5855~~19
Column 21: X:3195 Y:5855~~20
Column 22: X:3194 Y:5855~~21
Column 23: X:3194 Y:5856~~22
Column 24: X:3194 Y:5857~~23
Column 25: X:3194 Y:5858~~24
Column 26: X:3194 Y:5859~~25
Column 27: X:3194 Y:5860~~26
Column 28: X:3194 Y:5861~~27
Column 29: X:3195 Y:5861~~28
Column 30: X:3195 Y:5860~~29
Column 31: X:3196 Y:5860~~30
Column 32: X:3196 Y:5859~~31
Column 33: X:3197 Y:5859~~32
Column 34: X:3197 Y:5858~~33
Column 35: X:3197 Y:5857~~34
Column 36: X:3197 Y:5856~~35
Column 37: X:3198 Y:5856~~36
Column 38: X:3199 Y:5856~~37
Column 39: X:3199 Y:5855~~38
Column 40: X:3199 Y:5854~~39
Column 41: X:3199 Y:5853~~40
Column 42: X:3199 Y:5852~~41
Column 43: X:3200 Y:5852~~42
Column 44: X:3200 Y:5853~~43
Column 45: X:3200 Y:5854~~44
Column 46: X:3201 Y:5854~~45
Column 47: X:3201 Y:5853~~46
Column 48: X:3202 Y:5853~~47
Column 49: X:3202 Y:5854~~48
Column 50: X:3202 Y:5855~~49
Column 51: X:3201 Y:5855~~1
Column 52: X:3201 Y:5856~~2
Column 53: X:3200 Y:5856~~3
Column 54: X:3200 Y:5857~~4
Column 55: X:3199 Y:5857~~5
Column 56: X:3199 Y:5858~~6
Column 57: X:3199 Y:5859~~7
Column 58: X:3198 Y:5859~~8
Column 59: X:3197 Y:5859~~9
Column 60: X:3197 Y:5860~~10
Column 61: X:3197 Y:5861~~11
Column 62: X:3196 Y:5861~~12
Column 63: X:3195 Y:5861~~13
Column 64: X:3195 Y:5862~~14
Column 65: X:3195 Y:5863~~15
Column 66: X:3194 Y:5863~~16
Column 67: X:3193 Y:5863~~17
Column 68: X:3193 Y:5862~~18
Column 69: X:3193 Y:5861~~19
Column 70: X:3194 Y:5861~~20
Column 71: X:3195 Y:5861~~21
Column 72: X:3196 Y:5861~~22
Column 73: X:3197 Y:5861~~23
Column 74: X:3198 Y:5861~~24
Column 75: X:3199 Y:5861~~25
Column 76: X:3200 Y:5861~~26
Column 77: X:3201 Y:5861~~27
Column 78: X:3202 Y:5861~~28
Column 79: X:3203 Y:5861~~29
Column 80: X:3204 Y:5861~~30
Column 81: X:3205 Y:5861~~31
Column 82: X:3206 Y:5861~~32
Column 83: X:3207 Y:5861~~33
Column 84: X:3207 Y:5860~~34
Column 85: X:3208 Y:5860~~35
Column 86: X:3209 Y:5860~~36
Column 87: X:3210 Y:5860~~37
