ENVI ASCII Plot File [Thu Oct 18 15:24:49 2018]
Column 1: Wavelength
Column 2: X:8281 Y:4073~~1
Column 3: X:8283 Y:4072~~2
Column 4: X:8283 Y:4071~~3
Column 5: X:8284 Y:4071~~4
Column 6: X:8285 Y:4071~~5
Column 7: X:8285 Y:4070~~6
Column 8: X:8285 Y:4069~~7
Column 9: X:8286 Y:4069~~8
Column 10: X:8287 Y:4069~~9
Column 11: X:8288 Y:4069~~10
Column 12: X:8288 Y:4068~~11
Column 13: X:8289 Y:4068~~12
Column 14: X:8289 Y:4069~~13
Column 15: X:8289 Y:4070~~14
Column 16: X:8289 Y:4071~~15
Column 17: X:8290 Y:4071~~16
Column 18: X:8291 Y:4071~~17
Column 19: X:8291 Y:4072~~18
Column 20: X:8291 Y:4073~~19
Column 21: X:8292 Y:4073~~20
Column 22: X:8293 Y:4073~~21
Column 23: X:8293 Y:4074~~22
Column 24: X:8293 Y:4075~~23
Column 25: X:8294 Y:4075~~24
Column 26: X:8294 Y:4074~~25
Column 27: X:8294 Y:4073~~26
Column 28: X:8294 Y:4072~~27
Column 29: X:8295 Y:4072~~28
Column 30: X:8295 Y:4071~~29
Column 31: X:8295 Y:4070~~30
Column 32: X:8296 Y:4070~~31
Column 33: X:8297 Y:4070~~32
Column 34: X:8298 Y:4070~~33
Column 35: X:8298 Y:4069~~34
Column 36: X:8298 Y:4068~~35
Column 37: X:8297 Y:4068~~36
Column 38: X:8296 Y:4068~~37
Column 39: X:8296 Y:4067~~38
Column 40: X:8296 Y:4066~~39
Column 41: X:8297 Y:4066~~40
Column 42: X:8298 Y:4066~~41
Column 43: X:8299 Y:4066~~42
Column 44: X:8300 Y:4066~~43
Column 45: X:8300 Y:4065~~44
Column 46: X:8300 Y:4064~~45
Column 47: X:8299 Y:4064~~46
Column 48: X:8299 Y:4063~~47
Column 49: X:8299 Y:4062~~48
Column 50: X:8300 Y:4062~~49
Column 51: X:8301 Y:4062~~1
Column 52: X:8302 Y:4062~~2
Column 53: X:8302 Y:4061~~3
Column 54: X:8302 Y:4060~~4
Column 55: X:8303 Y:4060~~5
Column 56: X:8304 Y:4060~~6
Column 57: X:8304 Y:4061~~7
Column 58: X:8305 Y:4061~~8
Column 59: X:8305 Y:4060~~9
Column 60: X:8305 Y:4059~~10
Column 61: X:8305 Y:4058~~11
Column 62: X:8306 Y:4058~~12
Column 63: X:8307 Y:4058~~13
Column 64: X:8307 Y:4057~~14
Column 65: X:8307 Y:4056~~15
Column 66: X:8308 Y:4056~~16
Column 67: X:8309 Y:4056~~17
Column 68: X:8309 Y:4057~~18
Column 69: X:8309 Y:4058~~19
Column 70: X:8309 Y:4059~~20
Column 71: X:8309 Y:4060~~21
Column 72: X:8309 Y:4061~~22
Column 73: X:8309 Y:4062~~23
Column 74: X:8309 Y:4063~~24
Column 75: X:8309 Y:4064~~25
Column 76: X:8309 Y:4065~~26
Column 77: X:8309 Y:4066~~27
Column 78: X:8309 Y:4067~~28
Column 79: X:8309 Y:4068~~29
Column 80: X:8309 Y:4069~~30
Column 81: X:8308 Y:4069~~31
Column 82: X:8307 Y:4069~~32
Column 83: X:8306 Y:4069~~33
Column 84: X:8305 Y:4069~~34
Column 85: X:8304 Y:4069~~35
Column 86: X:8303 Y:4069~~36
Column 87: X:8303 Y:4070~~37
Column 88: X:8303 Y:4071~~38
Column 89: X:8303 Y:4072~~39
Column 90: X:8302 Y:4072~~40
Column 91: X:8301 Y:4072~~41
Column 92: X:8300 Y:4072~~42
Column 93: X:8300 Y:4073~~43
Column 94: X:8300 Y:4074~~44
Column 95: X:8301 Y:4074~~45
Column 96: X:8302 Y:4074~~46
Column 97: X:8303 Y:4074~~47
Column 98: X:8304 Y:4074~~48
Column 99: X:8305 Y:4074~~49
Column 100: X:8306 Y:4074~~1
Column 101: X:8307 Y:4074~~2
Column 102: X:8304 Y:4077~~3
Column 103: X:8304 Y:4078~~4
Column 104: X:8305 Y:4078~~5
Column 105: X:8306 Y:4078~~6
Column 106: X:8307 Y:4078~~7
Column 107: X:8308 Y:4078~~8
Column 108: X:8308 Y:4077~~9
Column 109: X:8309 Y:4077~~10
Column 110: X:8309 Y:4076~~11
Column 111: X:8310 Y:4076~~12
Column 112: X:8310 Y:4075~~13
Column 113: X:8310 Y:4074~~14
Column 114: X:8310 Y:4073~~15
Column 115: X:8310 Y:4072~~16
Column 116: X:8310 Y:4071~~17
Column 117: X:8311 Y:4071~~18
Column 118: X:8311 Y:4070~~19
Column 119: X:8311 Y:4069~~20
Column 120: X:8312 Y:4069~~21
Column 121: X:8312 Y:4068~~22
Column 122: X:8313 Y:4068~~23
Column 123: X:8313 Y:4067~~24
Column 124: X:8314 Y:4067~~25
Column 125: X:8314 Y:4066~~26
Column 126: X:8313 Y:4066~~27
Column 127: X:8313 Y:4065~~28
Column 128: X:8312 Y:4065~~29
Column 129: X:8312 Y:4064~~30
Column 130: X:8311 Y:4064~~31
Column 131: X:8311 Y:4063~~32
Column 132: X:8310 Y:4063~~33
Column 133: X:8310 Y:4062~~34
Column 134: X:8309 Y:4062~~35
Column 135: X:8309 Y:4061~~36
Column 136: X:8308 Y:4061~~37
Column 137: X:8308 Y:4060~~38
Column 138: X:8307 Y:4060~~39
Column 139: X:8307 Y:4059~~40
Column 140: X:8307 Y:4058~~41
Column 141: X:8307 Y:4057~~42
Column 142: X:8307 Y:4056~~43
Column 143: X:8308 Y:4056~~44
Column 144: X:8308 Y:4055~~45
Column 145: X:8308 Y:4054~~46
Column 146: X:8309 Y:4054~~47
Column 147: X:8309 Y:4053~~48
Column 148: X:8309 Y:4052~~49
Column 149: X:8308 Y:4052~~1
Column 150: X:8300 Y:4056~~2
Column 151: X:8304 Y:4051~~3
  0.427000  49.524414  48.738312  49.327888  49.327888  49.327888  49.720940  49.524414  48.934834  49.720940  49.720940  50.113987  48.738312  49.524414  48.541786  49.720940  48.934834  48.541786  49.131359  48.934834  48.541786  47.952206  48.738312  47.559158  45.004326  48.148731  46.969578  46.969578  45.790432  46.183479  46.969578  46.773056  46.380005  45.593903  46.969578  46.773056  47.559158  48.738312  48.148731  49.131359  48.148731  46.773056  47.559158  47.166107  47.755684  47.559158  47.166107  47.559158  47.166107  47.755684  48.541786  47.952206  48.148731  48.541786  48.738312  47.166107  47.166107  46.183479  45.790432  46.183479  46.969578  46.773056  46.773056  46.773056  48.148731  47.952206  46.380005  46.576530  45.986954  47.559158  45.986954  46.969578  46.183479  46.183479  47.559158  47.755684  46.576530  47.755684  45.397377  46.969578  46.183479  45.200851  45.593903  46.380005  45.986954  45.200851  45.593903  44.611279  45.986954  45.790432  45.986954  45.200851  45.593903  44.611279  45.593903  44.611279  45.004326  45.790432  45.200851  45.986954  45.986954  45.986954  45.986954  45.004326  45.397377  46.183479  47.166107  45.986954  46.773056  46.380005  47.362633  46.969578  47.362633  45.593903  45.986954  46.969578  46.380005  47.362633  45.986954  46.969578  47.166107  46.380005  47.559158  48.541786  47.166107  46.969578  46.969578  47.755684  46.969578  47.166107  48.541786  46.576530  46.183479  46.183479  46.969578  47.559158  47.362633  46.773056  46.576530  46.773056  46.773056  48.148731  47.952206  47.755684  48.541786  46.969578  47.755684  48.541786  48.345261  49.327888  49.524414
  0.478000  55.187626  53.710587  53.979141  52.770653  52.770653  53.844864  53.710587  53.442036  52.904930  52.233547  53.039204  53.307762  52.233547  51.964993  53.710587  53.173481  52.502098  52.636379  51.830715  49.413738  48.473804  49.682293  48.608082  46.325382  47.399593  45.922554  45.251171  46.728210  47.131042  48.608082  45.788277  47.668148  47.265316  48.205254  46.728210  48.070976  50.487953  51.293610  52.636379  49.413738  48.473804  49.279465  47.668148  49.145187  48.473804  47.936699  47.668148  48.473804  48.742355  49.548019  49.682293  50.219402  51.830715  48.876637  48.608082  47.131042  45.922554  47.399593  47.668148  48.876637  44.714066  44.714066  46.191105  48.339531  45.922554  46.728210  45.788277  46.728210  45.788277  46.996765  46.191105  44.982620  44.982620  46.593937  46.593937  47.399593  46.459660  46.056828  45.519722  45.654003  44.176956  44.982620  45.251171  45.654003  44.714066  44.579788  43.639851  42.565643  43.102749  42.297089  42.699917  42.431366  43.774132  43.505577  42.431366  43.505577  43.774132  43.237022  43.102749  44.311234  44.445515  44.982620  44.714066  44.445515  43.237022  45.654003  45.385445  44.848339  44.579788  47.131042  46.325382  44.982620  44.311234  44.579788  45.116894  44.579788  45.385445  46.728210  44.848339  45.385445  45.654003  46.056828  45.654003  46.862492  45.788277  46.996765  46.191105  47.802425  46.996765  47.802425  45.654003  45.519722  44.982620  46.191105  47.265316  47.399593  46.056828  44.579788  44.714066  46.191105  48.339531  45.922554  47.265316  49.682293  47.668148  48.473804  49.279465  52.233547  54.113419  54.919075
