ENVI ASCII Plot File [Wed Oct 24 15:20:47 2018]
Column 1: Wavelength
Column 2: X:7175 Y:857~~1
Column 3: X:7175 Y:858~~2
Column 4: X:7175 Y:859~~3
Column 5: X:7174 Y:859~~4
Column 6: X:7173 Y:859~~5
Column 7: X:7172 Y:859~~6
Column 8: X:7171 Y:859~~7
Column 9: X:7170 Y:859~~8
Column 10: X:7169 Y:859~~9
Column 11: X:7168 Y:859~~10
Column 12: X:7167 Y:859~~11
Column 13: X:7166 Y:859~~12
Column 14: X:7165 Y:859~~13
Column 15: X:7164 Y:859~~14
Column 16: X:7163 Y:859~~15
Column 17: X:7162 Y:859~~16
Column 18: X:7162 Y:860~~17
Column 19: X:7162 Y:861~~18
Column 20: X:7162 Y:862~~19
Column 21: X:7163 Y:862~~20
Column 22: X:7164 Y:862~~21
Column 23: X:7165 Y:862~~22
Column 24: X:7166 Y:862~~23
Column 25: X:7167 Y:862~~24
Column 26: X:7168 Y:862~~25
Column 27: X:7168 Y:863~~26
Column 28: X:7168 Y:864~~27
Column 29: X:7169 Y:864~~28
Column 30: X:7169 Y:863~~29
Column 31: X:7169 Y:862~~30
Column 32: X:7170 Y:862~~31
Column 33: X:7171 Y:862~~32
Column 34: X:7172 Y:862~~33
Column 35: X:7172 Y:863~~34
Column 36: X:7172 Y:864~~35
Column 37: X:7173 Y:864~~36
Column 38: X:7173 Y:865~~37
Column 39: X:7173 Y:866~~38
Column 40: X:7174 Y:866~~39
Column 41: X:7174 Y:867~~40
Column 42: X:7174 Y:868~~41
Column 43: X:7175 Y:868~~42
Column 44: X:7176 Y:868~~43
Column 45: X:7177 Y:868~~44
Column 46: X:7178 Y:868~~45
Column 47: X:7178 Y:869~~46
Column 48: X:7178 Y:870~~47
Column 49: X:7179 Y:870~~48
Column 50: X:7180 Y:870~~49
Column 51: X:7180 Y:869~~1
Column 52: X:7180 Y:870~~2
Column 53: X:7180 Y:869~~3
Column 54: X:7180 Y:868~~4
Column 55: X:7180 Y:867~~5
Column 56: X:7180 Y:866~~6
Column 57: X:7180 Y:865~~7
Column 58: X:7180 Y:864~~8
Column 59: X:7180 Y:863~~9
Column 60: X:7180 Y:862~~10
Column 61: X:7180 Y:861~~11
Column 62: X:7180 Y:860~~12
Column 63: X:7180 Y:859~~13
Column 64: X:7180 Y:858~~14
Column 65: X:7180 Y:857~~15
Column 66: X:7180 Y:856~~16
Column 67: X:7181 Y:856~~17
Column 68: X:7182 Y:856~~18
Column 69: X:7183 Y:856~~19
Column 70: X:7183 Y:857~~20
Column 71: X:7183 Y:858~~21
Column 72: X:7183 Y:859~~22
Column 73: X:7184 Y:859~~23
Column 74: X:7185 Y:859~~24
Column 75: X:7186 Y:859~~25
Column 76: X:7186 Y:860~~26
Column 77: X:7186 Y:861~~27
Column 78: X:7186 Y:862~~28
Column 79: X:7186 Y:863~~29
Column 80: X:7186 Y:864~~30
Column 81: X:7185 Y:864~~31
Column 82: X:7184 Y:864~~32
Column 83: X:7184 Y:865~~33
Column 84: X:7184 Y:866~~34
Column 85: X:7184 Y:867~~35
Column 86: X:7184 Y:868~~36
Column 87: X:7184 Y:869~~37
Column 88: X:7185 Y:869~~38
Column 89: X:7186 Y:869~~39
Column 90: X:7187 Y:869~~40
Column 91: X:7188 Y:869~~41
Column 92: X:7188 Y:870~~42
Column 93: X:7188 Y:871~~43
Column 94: X:7188 Y:872~~44
Column 95: X:7187 Y:872~~45
Column 96: X:7186 Y:872~~46
Column 97: X:7185 Y:872~~47
Column 98: X:7185 Y:871~~48
Column 99: X:7185 Y:870~~49
Column 100: X:7185 Y:869~~1
Column 101: X:7186 Y:869~~2
Column 102: X:7187 Y:869~~3
Column 103: X:7188 Y:869~~4
Column 104: X:7189 Y:869~~5
Column 105: X:7190 Y:869~~6
Column 106: X:7190 Y:870~~7
Column 107: X:7190 Y:871~~8
Column 108: X:7189 Y:871~~9
Column 109: X:7189 Y:872~~10
Column 110: X:7189 Y:873~~11
Column 111: X:7190 Y:873~~12
Column 112: X:7191 Y:873~~13
Column 113: X:7191 Y:874~~14
Column 114: X:7192 Y:874~~15
Column 115: X:7193 Y:874~~16
Column 116: X:7193 Y:873~~17
Column 117: X:7193 Y:872~~18
Column 118: X:7193 Y:871~~19
Column 119: X:7193 Y:870~~20
Column 120: X:7193 Y:869~~21
Column 121: X:7193 Y:868~~22
Column 122: X:7193 Y:867~~23
Column 123: X:7193 Y:866~~24
Column 124: X:7193 Y:865~~25
Column 125: X:7193 Y:864~~26
Column 126: X:7193 Y:863~~27
Column 127: X:7194 Y:863~~28
Column 128: X:7195 Y:863~~29
Column 129: X:7195 Y:864~~30
Column 130: X:7195 Y:865~~31
Column 131: X:7195 Y:866~~32
Column 132: X:7195 Y:867~~33
Column 133: X:7195 Y:868~~34
Column 134: X:7195 Y:869~~35
Column 135: X:7195 Y:870~~36
Column 136: X:7195 Y:871~~37
Column 137: X:7195 Y:872~~38
Column 138: X:7195 Y:873~~39
Column 139: X:7195 Y:874~~40
Column 140: X:7195 Y:875~~41
Column 141: X:7195 Y:876~~42
Column 142: X:7196 Y:876~~43
Column 143: X:7197 Y:876~~44
Column 144: X:7198 Y:876~~45
Column 145: X:7199 Y:876~~46
Column 146: X:7200 Y:876~~47
Column 147: X:7201 Y:876~~48
Column 148: X:7202 Y:876~~49
Column 149: X:7203 Y:876~~1
Column 150: X:7204 Y:876~~2
Column 151: X:7204 Y:877~~3
  0.427000  57.096825  57.882561  59.715946  59.192127  58.406387  59.454033  58.930214  60.501682  59.715946  58.406387  59.977859  59.977859  62.596981  60.763596  59.454033  61.025509  60.501682  61.287422  59.977859  59.192127  59.454033  58.144474  58.668301  59.454033  58.406387  58.930214  58.930214  58.668301  58.668301  59.454033  59.192127  60.501682  59.715946  58.668301  58.668301  58.406387  57.882561  57.358738  57.882561  57.358738  57.882561  57.882561  57.358738  57.882561  57.620651  56.573006  55.263439  56.573006  56.049179  56.573006  56.049179  56.573006  58.406387  58.144474  58.406387  58.930214  59.454033  58.144474  58.144474  56.834915  58.144474  58.668301  58.406387  58.144474  56.573006  56.311092  57.096825  57.620651  57.882561  58.668301  58.668301  58.930214  56.311092  57.620651  56.834915  58.406387  58.668301  57.620651  59.454033  59.454033  58.144474  58.930214  58.406387  58.144474  57.358738  56.049179  57.358738  55.787266  57.096825  58.144474  58.406387  53.430058  54.215794  53.691971  56.049179  55.787266  55.263439  56.049179  57.358738  55.787266  57.096825  58.144474  54.739620  53.691971  55.001530  53.430058  55.263439  55.263439  56.049179  54.215794  54.215794  53.430058  54.739620  54.477707  55.001530  52.906231  54.739620  54.215794  53.691971  53.953884  55.263439  55.263439  53.953884  55.787266  56.573006  54.215794  55.787266  55.525352  55.525352  54.739620  54.477707  54.215794  51.596676  52.382412  52.644321  53.953884  53.168144  53.430058  55.787266  51.858585  50.810936  50.287117  51.072849  51.596676  51.858585  50.549023  52.120499  52.644321  51.596676  52.120499
  0.478000  58.883255  59.062778  59.062778  62.114655  60.498951  60.678478  61.396564  61.217045  62.294174  59.062778  62.294174  62.294174  62.473698  59.421822  60.139912  63.730354  61.935131  61.217045  62.114655  61.037521  59.421822  60.139912  59.780865  58.883255  58.883255  60.139912  60.139912  59.780865  59.780865  60.678478  60.139912  61.037521  59.960388  60.139912  60.139912  58.703735  55.831379  55.292812  58.703735  58.883255  55.292812  58.703735  57.447075  57.447075  58.883255  55.651859  53.856636  54.754246  55.113293  54.036160  55.113293  54.036160  57.267555  58.165169  58.703735  58.883255  60.678478  59.421822  58.703735  60.678478  60.678478  58.344688  58.165169  58.524212  58.703735  57.088036  56.908512  57.985641  57.447075  58.524212  58.524212  59.960388  55.831379  56.728989  56.908512  57.806122  58.165169  58.344688  61.217045  61.217045  59.242298  58.344688  59.242298  58.524212  54.574726  52.599983  53.677113  54.574726  56.369946  57.267555  55.292812  54.215679  50.984283  49.548107  55.113293  52.779503  54.215679  51.702370  53.677113  54.574726  56.369946  57.267555  52.959023  50.625240  53.497593  51.881893  56.190422  56.190422  53.677113  51.881893  51.881893  48.830017  50.984283  52.061417  51.343327  49.009541  49.907146  49.727627  51.163803  51.343327  51.881893  52.240936  52.599983  54.215679  54.036160  52.240936  51.881893  54.395203  53.138550  51.702370  51.163803  48.830017  49.009541  49.009541  49.727627  50.266193  50.445713  49.009541  49.368580  47.573364  45.957664  46.316708  45.957664  46.496231  46.316708  47.034798  47.573364  47.034798  47.573364  46.855270
  0.546000  45.488380  44.650436  45.368675  47.643093  45.727795  45.488380  47.044563  47.643093  47.882507  46.685444  47.283974  47.283974  49.079567  46.685444  46.565735  50.037220  49.079567  49.079567  49.678101  48.600746  47.164268  44.171612  45.129261  45.488380  45.009556  46.685444  47.403683  45.368675  45.368675  46.685444  45.727795  46.446030  46.206619  45.847500  45.847500  45.608089  39.862186  39.742481  43.094257  43.573078  41.777485  42.854843  42.974552  42.256313  42.615433  39.143948  39.622776  38.066589  39.742481  39.862186  39.742481  39.862186  42.854843  42.615433  44.171612  44.291317  45.129261  45.248970  44.051907  44.889851  45.488380  45.129261  44.051907  44.889851  42.016899  42.016899  44.770145  42.974552  42.854843  44.770145  44.770145  45.129261  41.777485  39.862186  42.136604  42.136604  43.692787  43.094257  45.488380  45.488380  44.530731  44.171612  45.129261  43.932198  39.024242  37.108944  38.545418  39.263657  42.735138  42.136604  40.580425  37.587769  37.228649  34.475407  41.418369  37.946884  38.306004  35.911880  38.545418  39.263657  42.735138  42.136604  38.066589  33.038929  38.306004  36.989239  42.136604  42.136604  39.622776  36.869530  36.869530  33.278343  36.390705  36.390705  37.228649  32.919224  33.038929  34.475407  35.552761  35.073933  34.954231  37.348358  35.073933  37.707478  38.186298  34.714817  35.552761  39.622776  35.911880  34.714817  34.355698  31.961573  30.764511  31.722160  32.200985  33.517754  33.996582  32.081280  31.961573  31.961573  28.968916  28.250679  27.532440  28.130972  28.729504  29.088623  28.849209  29.328035  29.687155  28.490091
