ENVI ASCII Plot File [Wed Oct 24 14:53:41 2018]
Column 1: Wavelength
Column 2: X:6750 Y:6071~~1
Column 3: X:6752 Y:6073~~2
Column 4: X:6753 Y:6073~~3
Column 5: X:6754 Y:6073~~4
Column 6: X:6755 Y:6073~~5
Column 7: X:6756 Y:6073~~6
Column 8: X:6757 Y:6073~~7
Column 9: X:6758 Y:6073~~8
Column 10: X:6758 Y:6072~~9
Column 11: X:6757 Y:6072~~10
Column 12: X:6756 Y:6072~~11
Column 13: X:6755 Y:6072~~12
Column 14: X:6754 Y:6072~~13
Column 15: X:6753 Y:6072~~14
Column 16: X:6752 Y:6072~~15
Column 17: X:6751 Y:6072~~16
Column 18: X:6751 Y:6071~~17
Column 19: X:6751 Y:6070~~18
Column 20: X:6751 Y:6069~~19
Column 21: X:6752 Y:6069~~20
Column 22: X:6752 Y:6070~~21
Column 23: X:6752 Y:6071~~22
Column 24: X:6753 Y:6071~~23
Column 25: X:6754 Y:6071~~24
Column 26: X:6755 Y:6071~~25
Column 27: X:6756 Y:6071~~26
Column 28: X:6757 Y:6071~~27
Column 29: X:6757 Y:6072~~28
Column 30: X:6757 Y:6073~~29
Column 31: X:6758 Y:6073~~30
Column 32: X:6759 Y:6073~~31
Column 33: X:6760 Y:6073~~32
Column 34: X:6760 Y:6074~~33
Column 35: X:6760 Y:6075~~34
Column 36: X:6761 Y:6075~~35
Column 37: X:6762 Y:6075~~36
Column 38: X:6763 Y:6075~~37
Column 39: X:6763 Y:6074~~38
Column 40: X:6763 Y:6073~~39
Column 41: X:6764 Y:6073~~40
Column 42: X:6764 Y:6072~~41
Column 43: X:6763 Y:6072~~42
Column 44: X:6762 Y:6072~~43
Column 45: X:6761 Y:6072~~44
Column 46: X:6760 Y:6072~~45
Column 47: X:6759 Y:6072~~46
Column 48: X:6758 Y:6072~~47
Column 49: X:6758 Y:6071~~48
Column 50: X:6758 Y:6070~~49
Column 51: X:6757 Y:6070~~1
Column 52: X:6756 Y:6070~~2
Column 53: X:6755 Y:6070~~3
Column 54: X:6754 Y:6070~~4
Column 55: X:6753 Y:6070~~5
Column 56: X:6752 Y:6070~~6
Column 57: X:6752 Y:6069~~7
Column 58: X:6752 Y:6068~~8
Column 59: X:6751 Y:6068~~9
Column 60: X:6750 Y:6068~~10
Column 61: X:6749 Y:6068~~11
Column 62: X:6748 Y:6068~~12
Column 63: X:6747 Y:6068~~13
Column 64: X:6747 Y:6067~~14
Column 65: X:6747 Y:6066~~15
Column 66: X:6747 Y:6065~~16
Column 67: X:6747 Y:6064~~17
Column 68: X:6748 Y:6064~~18
Column 69: X:6749 Y:6064~~19
Column 70: X:6750 Y:6064~~20
Column 71: X:6750 Y:6065~~21
Column 72: X:6751 Y:6065~~22
Column 73: X:6752 Y:6065~~23
Column 74: X:6752 Y:6066~~24
Column 75: X:6752 Y:6067~~25
Column 76: X:6753 Y:6067~~26
Column 77: X:6754 Y:6067~~27
Column 78: X:6754 Y:6066~~28
Column 79: X:6754 Y:6065~~29
Column 80: X:6755 Y:6065~~30
Column 81: X:6755 Y:6066~~31
Column 82: X:6755 Y:6067~~32
Column 83: X:6755 Y:6068~~33
Column 84: X:6756 Y:6068~~34
Column 85: X:6757 Y:6068~~35
Column 86: X:6757 Y:6067~~36
Column 87: X:6758 Y:6067~~37
Column 88: X:6758 Y:6068~~38
Column 89: X:6758 Y:6069~~39
Column 90: X:6759 Y:6069~~40
Column 91: X:6759 Y:6068~~41
Column 92: X:6760 Y:6068~~42
Column 93: X:6760 Y:6069~~43
Column 94: X:6761 Y:6069~~44
Column 95: X:6762 Y:6069~~45
Column 96: X:6762 Y:6068~~46
Column 97: X:6763 Y:6068~~47
Column 98: X:6763 Y:6069~~48
Column 99: X:6763 Y:6070~~49
Column 100: X:6763 Y:6071~~1
Column 101: X:6764 Y:6071~~2
Column 102: X:6765 Y:6071~~3
Column 103: X:6765 Y:6070~~4
Column 104: X:6765 Y:6069~~5
Column 105: X:6765 Y:6068~~6
Column 106: X:6765 Y:6067~~7
Column 107: X:6764 Y:6067~~8
Column 108: X:6763 Y:6067~~9
Column 109: X:6763 Y:6066~~10
Column 110: X:6763 Y:6065~~11
Column 111: X:6762 Y:6065~~12
Column 112: X:6761 Y:6065~~13
Column 113: X:6761 Y:6064~~14
Column 114: X:6761 Y:6063~~15
Column 115: X:6761 Y:6062~~16
Column 116: X:6760 Y:6062~~17
Column 117: X:6759 Y:6062~~18
Column 118: X:6759 Y:6061~~19
Column 119: X:6759 Y:6060~~20
Column 120: X:6758 Y:6060~~21
Column 121: X:6758 Y:6059~~22
Column 122: X:6757 Y:6059~~23
Column 123: X:6757 Y:6058~~24
Column 124: X:6756 Y:6058~~25
