ENVI ASCII Plot File [Thu Oct 25 12:42:53 2018]
Column 1: Wavelength
Column 2: X:8911 Y:3869~~1
Column 3: X:8914 Y:3867~~2
Column 4: X:8914 Y:3866~~3
Column 5: X:8913 Y:3866~~4
Column 6: X:8912 Y:3866~~5
Column 7: X:8911 Y:3866~~6
Column 8: X:8910 Y:3866~~7
Column 9: X:8909 Y:3866~~8
Column 10: X:8908 Y:3866~~9
Column 11: X:8907 Y:3866~~10
Column 12: X:8906 Y:3866~~11
Column 13: X:8905 Y:3866~~12
Column 14: X:8904 Y:3866~~13
Column 15: X:8903 Y:3866~~14
Column 16: X:8903 Y:3865~~15
Column 17: X:8903 Y:3864~~16
Column 18: X:8904 Y:3864~~17
Column 19: X:8905 Y:3864~~18
Column 20: X:8906 Y:3864~~19
Column 21: X:8906 Y:3863~~20
Column 22: X:8905 Y:3863~~21
Column 23: X:8904 Y:3863~~22
Column 24: X:8903 Y:3863~~23
Column 25: X:8902 Y:3863~~24
Column 26: X:8902 Y:3862~~25
Column 27: X:8902 Y:3861~~26
Column 28: X:8903 Y:3861~~27
Column 29: X:8904 Y:3861~~28
Column 30: X:8904 Y:3860~~29
Column 31: X:8904 Y:3859~~30
Column 32: X:8904 Y:3858~~31
Column 33: X:8903 Y:3858~~32
Column 34: X:8902 Y:3858~~33
Column 35: X:8901 Y:3858~~34
Column 36: X:8900 Y:3858~~35
Column 37: X:8899 Y:3858~~36
Column 38: X:8898 Y:3858~~37
Column 39: X:8898 Y:3857~~38
Column 40: X:8898 Y:3856~~39
Column 41: X:8899 Y:3856~~40
Column 42: X:8900 Y:3856~~41
Column 43: X:8901 Y:3856~~42
Column 44: X:8902 Y:3856~~43
Column 45: X:8903 Y:3856~~44
Column 46: X:8903 Y:3855~~45
Column 47: X:8903 Y:3854~~46
Column 48: X:8903 Y:3853~~47
Column 49: X:8903 Y:3852~~48
Column 50: X:8903 Y:3851~~49
Column 51: X:8903 Y:3850~~1
Column 52: X:8902 Y:3850~~2
Column 53: X:8901 Y:3850~~3
Column 54: X:8900 Y:3850~~4
Column 55: X:8899 Y:3850~~5
Column 56: X:8898 Y:3850~~6
Column 57: X:8897 Y:3850~~7
Column 58: X:8897 Y:3849~~8
Column 59: X:8897 Y:3848~~9
Column 60: X:8897 Y:3847~~10
Column 61: X:8898 Y:3847~~11
Column 62: X:8899 Y:3847~~12
Column 63: X:8900 Y:3847~~13
Column 64: X:8901 Y:3847~~14
Column 65: X:8902 Y:3847~~15
Column 66: X:8903 Y:3847~~16
Column 67: X:8904 Y:3847~~17
Column 68: X:8904 Y:3846~~18
Column 69: X:8904 Y:3845~~19
Column 70: X:8904 Y:3844~~20
Column 71: X:8904 Y:3843~~21
Column 72: X:8904 Y:3842~~22
Column 73: X:8904 Y:3841~~23
Column 74: X:8904 Y:3840~~24
Column 75: X:8904 Y:3839~~25
Column 76: X:8904 Y:3838~~26
Column 77: X:8904 Y:3837~~27
Column 78: X:8904 Y:3836~~28
Column 79: X:8904 Y:3835~~29
Column 80: X:8904 Y:3834~~30
Column 81: X:8903 Y:3834~~31
Column 82: X:8902 Y:3834~~32
Column 83: X:8901 Y:3834~~33
Column 84: X:8900 Y:3834~~34
Column 85: X:8899 Y:3834~~35
Column 86: X:8898 Y:3834~~36
Column 87: X:8897 Y:3834~~37
Column 88: X:8896 Y:3834~~38
Column 89: X:8895 Y:3834~~39
Column 90: X:8894 Y:3834~~40
Column 91: X:8894 Y:3833~~41
Column 92: X:8894 Y:3832~~42
