ENVI ASCII Plot File [Fri Sep 19 10:14:45 2014]
Column 1: Wavelength
Column 2: X:6916 Y:6612~~1
Column 3: X:6916 Y:6611~~2
Column 4: X:6916 Y:6610~~3
Column 5: X:6916 Y:6609~~4
Column 6: X:6916 Y:6608~~5
Column 7: X:6916 Y:6607~~6
Column 8: X:6916 Y:6606~~7
Column 9: X:6916 Y:6605~~8
Column 10: X:6916 Y:6604~~9
Column 11: X:6916 Y:6603~~10
Column 12: X:6916 Y:6602~~11
Column 13: X:6916 Y:6601~~12
Column 14: X:6916 Y:6600~~13
Column 15: X:6916 Y:6599~~14
Column 16: X:6916 Y:6598~~15
Column 17: X:6916 Y:6597~~16
Column 18: X:6916 Y:6596~~17
Column 19: X:6916 Y:6595~~18
Column 20: X:6916 Y:6594~~19
Column 21: X:6916 Y:6593~~20
Column 22: X:6916 Y:6592~~21
Column 23: X:6916 Y:6591~~22
Column 24: X:6916 Y:6590~~23
Column 25: X:6916 Y:6589~~24
Column 26: X:6916 Y:6588~~25
Column 27: X:6916 Y:6587~~26
Column 28: X:6916 Y:6586~~27
Column 29: X:6916 Y:6585~~28
Column 30: X:6916 Y:6584~~29
Column 31: X:6916 Y:6583~~30
Column 32: X:6916 Y:6582~~31
Column 33: X:6916 Y:6581~~32
Column 34: X:6916 Y:6580~~33
Column 35: X:6916 Y:6579~~34
Column 36: X:6917 Y:6579~~35
Column 37: X:6917 Y:6580~~36
Column 38: X:6917 Y:6581~~37
Column 39: X:6917 Y:6582~~38
Column 40: X:6917 Y:6583~~39
Column 41: X:6917 Y:6584~~40
Column 42: X:6917 Y:6585~~41
Column 43: X:6917 Y:6586~~42
Column 44: X:6917 Y:6587~~43
Column 45: X:6917 Y:6588~~44
Column 46: X:6917 Y:6589~~45
Column 47: X:6917 Y:6590~~46
Column 48: X:6917 Y:6591~~47
Column 49: X:6917 Y:6592~~48
Column 50: X:6917 Y:6593~~49
Column 51: X:6917 Y:6594~~1
Column 52: X:6917 Y:6595~~2
Column 53: X:6917 Y:6596~~3
Column 54: X:6917 Y:6597~~4
Column 55: X:6917 Y:6598~~5
Column 56: X:6917 Y:6599~~6
Column 57: X:6917 Y:6600~~7
